Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014093855324061587e+04,1.203111410388810310e+00
1.014093857208740883e+04,1.203149243351913533e+00
1.014093859093419996e+04,1.203187076882251461e+00
1.014093860978099292e+04,1.203224910987124918e+00
1.014093862862778406e+04,1.203262745659229749e+00
1.014093864747457701e+04,1.203300580905866779e+00
1.014093866632136815e+04,1.203338416719733406e+00
1.014093868516816110e+04,1.203376253108128680e+00
1.014093870401495224e+04,1.203414090063748221e+00
1.014093872286174519e+04,1.203451927593896631e+00
1.014093874170853633e+04,1.203489765691265978e+00
1.014093876055532928e+04,1.203527604363158865e+00
1.014093877940212042e+04,1.203565443602272689e+00
1.014093879824891337e+04,1.203603283415904723e+00
1.014093881709570451e+04,1.203641123796754364e+00
1.014093883594249746e+04,1.203678964752122438e+00
1.014093885478928860e+04,1.203716806274702789e+00
1.014093887363608155e+04,1.203754648371797797e+00
1.014093889248287269e+04,1.203792491036100198e+00
1.014093891132966564e+04,1.203830334274919256e+00
1.014093893017645678e+04,1.203868178080943707e+00
1.014093894902324973e+04,1.203906022461475933e+00
1.014093896787004269e+04,1.203943867412863300e+00
1.014093898671683382e+04,1.203981712931454506e+00
1.014093900556362678e+04,1.204019559024549935e+00
1.014093902441041791e+04,1.204057405684844095e+00
1.014093904325721087e+04,1.204095252919641146e+00
1.014093906210400201e+04,1.204133100721633154e+00
1.014093908095079496e+04,1.204170949098122723e+00
1.014093909979758610e+04,1.204208798041805917e+00
1.014093911864437905e+04,1.204246647559986449e+00
1.014093913749117019e+04,1.204284497645355279e+00
1.014093915633796314e+04,1.204322348305218338e+00
1.014093917518475428e+04,1.204360199532265918e+00
1.014093919403154723e+04,1.204398051333806174e+00
1.014093921287833837e+04,1.204435903702527622e+00
1.014093923172513132e+04,1.204473756645737970e+00
1.014093925057192246e+04,1.204511610156126400e+00
1.014093926941871541e+04,1.204549464241001955e+00
1.014093928826550655e+04,1.204587318893051817e+00
1.014093930711229950e+04,1.204625174119585473e+00
1.014093932595909064e+04,1.204663029913292105e+00
1.014093934480588359e+04,1.204700886281478756e+00
1.014093936365267473e+04,1.204738743216833052e+00
1.014093938249946768e+04,1.204776600726665814e+00
1.014093940134626064e+04,1.204814458807319300e+00
1.014093942019305177e+04,1.204852317455138433e+00
1.014093943903984473e+04,1.204890176677429148e+00
1.014093945788663586e+04,1.204928036466882402e+00
1.014093947673342882e+04,1.204965896830803906e+00
1.014093949558021995e+04,1.205003757761885952e+00
1.014093951442701291e+04,1.205041619267434472e+00
1.014093953327380405e+04,1.205079481340138425e+00
1.014093955212059700e+04,1.205117343987303746e+00
1.014093957096738814e+04,1.205155207201622947e+00
1.014093958981418109e+04,1.205193070990405069e+00
1.014093960866097223e+04,1.205230935346335741e+00
1.014093962750776518e+04,1.205268800276722674e+00
1.014093964635455632e+04,1.205306665774256381e+00
1.014093966520134927e+04,1.205344531846246126e+00
1.014093968404814041e+04,1.205382398485379314e+00
1.014093970289493336e+04,1.205420265698963433e+00
1.014093972174172450e+04,1.205458133479687666e+00
1.014093974058851745e+04,1.205496001834862607e+00
1.014093975943530859e+04,1.205533870757172554e+00
1.014093977828210154e+04,1.205571740253929880e+00
1.014093979712889450e+04,1.205609610321476621e+00
1.014093981597568563e+04,1.205647480956153039e+00
1.014093983482247859e+04,1.205685352165275281e+00
1.014093985366926972e+04,1.205723223941525202e+00
1.014093987251606268e+04,1.205761096292214063e+00
1.014093989136285381e+04,1.205798969210027494e+00
1.014093991020964677e+04,1.205836842702279643e+00
1.014093992905643790e+04,1.205874716761652810e+00
1.014093994790323086e+04,1.205912591395459588e+00
1.014093996675002199e+04,1.205950466596385606e+00
1.014093998559681495e+04,1.205988342371743682e+00
1.014094000444360609e+04,1.206026218714215892e+00
1.014094002329039904e+04,1.206064095631116606e+00
1.014094004213719018e+04,1.206101973115131232e+00
1.014094006098398313e+04,1.206139851173571031e+00
1.014094007983077427e+04,1.206177729799119858e+00
1.014094009867756722e+04,1.206215608999090083e+00
1.014094011752435836e+04,1.206253488766169335e+00
1.014094013637115131e+04,1.206291369107666656e+00
1.014094015521794245e+04,1.206329250016267673e+00
1.014094017406473540e+04,1.206367131499283651e+00
1.014094019291152654e+04,1.206405013549401328e+00
1.014094021175831949e+04,1.206442896173932189e+00
1.014094023060511245e+04,1.206480779369217826e+00
1.014094024945190358e+04,1.206518663131598501e+00
1.014094026829869654e+04,1.206556547468388807e+00
1.014094028714548767e+04,1.206594432372270820e+00
1.014094030599228063e+04,1.206632317850560687e+00
1.014094032483907176e+04,1.206670203895938487e+00
1.014094034368586472e+04,1.206708090515720810e+00
1.014094036253265585e+04,1.206745977702589734e+00
1.014094038137944881e+04,1.206783865463857630e+00
1.014094040022623994e+04,1.206821753792210350e+00
1.014094041907303290e+04,1.206859642694957158e+00
1.014094043791982403e+04,1.206897532164788567e+00
1.014094045676661699e+04,1.206935422209012287e+00
1.014094047561340813e+04,1.206973312820311950e+00
1.014094049446020108e+04,1.207011204006004146e+00
1.014094051330699222e+04,1.207049095758770729e+00
1.014094053215378517e+04,1.207086988085926071e+00
1.014094055100057631e+04,1.207124880980152248e+00
1.014094056984736926e+04,1.207162774448762299e+00
1.014094058869416040e+04,1.207200668484442962e+00
1.014094060754095335e+04,1.207238563094504169e+00
1.014094062638774631e+04,1.207276458275287290e+00
1.014094064523453744e+04,1.207314354023136360e+00
1.014094066408133040e+04,1.207352250345363753e+00
1.014094068292812153e+04,1.207390147234649991e+00
1.014094070177491449e+04,1.207428044698311220e+00
1.014094072062170562e+04,1.207465942729029740e+00
1.014094073946849858e+04,1.207503841334121475e+00
1.014094075831528971e+04,1.207541740506266725e+00
1.014094077716208267e+04,1.207579640252780306e+00
1.014094079600887380e+04,1.207617540566345848e+00
1.014094081485566676e+04,1.207655441454275946e+00
1.014094083370245789e+04,1.207693342909256451e+00
1.014094085254925085e+04,1.207731244938599735e+00
1.014094087139604198e+04,1.207769147534988097e+00
1.014094089024283494e+04,1.207807050705734131e+00
1.014094090908962608e+04,1.207844954443525465e+00
1.014094092793641903e+04,1.207882858755672695e+00
1.014094094678321017e+04,1.207920763634858119e+00
1.014094096563000312e+04,1.207958669088397885e+00
1.014094098447679426e+04,1.207996575108974069e+00
1.014094100332358721e+04,1.208034481703901042e+00
1.014094102217037835e+04,1.208072388865862656e+00
1.014094104101717130e+04,1.208110296602170175e+00
1.014094105986396426e+04,1.208148204909166745e+00
1.014094107871075539e+04,1.208186113783191296e+00
1.014094109755754835e+04,1.208224023231559974e+00
1.014094111640433948e+04,1.208261933246954412e+00
1.014094113525113244e+04,1.208299843836689647e+00
1.014094115409792357e+04,1.208337754993445534e+00
1.014094117294471653e+04,1.208375666724540221e+00
1.014094119179150766e+04,1.208413579022652451e+00
1.014094121063830062e+04,1.208451491895101704e+00
1.014094122948509175e+04,1.208489405334566724e+00
1.014094124833188471e+04,1.208527319348361884e+00
1.014094126717867584e+04,1.208565233929171034e+00
1.014094128602546880e+04,1.208603149084308770e+00
1.014094130487225993e+04,1.208641064806456944e+00
1.014094132371905289e+04,1.208678981102931704e+00
1.014094134256584402e+04,1.208716897966412018e+00
1.014094136141263698e+04,1.208754815404215366e+00
1.014094138025942812e+04,1.208792733409020714e+00
1.014094139910622107e+04,1.208830651988149318e+00
1.014094141795301221e+04,1.208868571134278147e+00
1.014094143679980516e+04,1.208906490854721794e+00
1.014094145564659811e+04,1.208944411145823405e+00
1.014094147449338925e+04,1.208982332003921911e+00
1.014094149334018221e+04,1.209020253436331682e+00
1.014094151218697334e+04,1.209058175435734572e+00
1.014094153103376630e+04,1.209096098009446951e+00
1.014094154988055743e+04,1.209134021150149119e+00
1.014094156872735039e+04,1.209171944865159221e+00
1.014094158757414152e+04,1.209209869147155558e+00
1.014094160642093448e+04,1.209247794003454501e+00
1.014094162526772561e+04,1.209285719426737904e+00
1.014094164411451857e+04,1.209323645424322358e+00
1.014094166296130970e+04,1.209361571988886164e+00
1.014094168180810266e+04,1.209399499127749245e+00
1.014094170065489379e+04,1.209437426833589901e+00
1.014094171950168675e+04,1.209475355113724726e+00
1.014094173834847788e+04,1.209513283960833574e+00
1.014094175719527084e+04,1.209551213382234813e+00
1.014094177604206197e+04,1.209589143370606745e+00
1.014094179488885493e+04,1.209627073933269292e+00
1.014094181373564606e+04,1.209665005062899201e+00
1.014094183258243902e+04,1.209702936766814396e+00
1.014094185142923016e+04,1.209740869037693622e+00
1.014094187027602311e+04,1.209778801882859689e+00
1.014094188912281606e+04,1.209816735298646195e+00
1.014094190796960720e+04,1.209854669281389850e+00
