Time (BJD_TBD - 2450000), L_h/L_star (ppm)
7.260000000000000000e+03,2.789624527560955158e+01
7.260003000300030180e+03,2.789169106235916118e+01
7.260006000600060361e+03,2.788712315179259704e+01
7.260009000900089632e+03,2.788254154851992084e+01
7.260012001200119812e+03,2.787794625716081498e+01
7.260015001500149992e+03,2.787333728235295283e+01
7.260018001800180173e+03,2.786871462874641736e+01
7.260021002100210353e+03,2.786407830100510452e+01
7.260024002400239624e+03,2.785942830380810875e+01
7.260027002700269804e+03,2.785476464184408840e+01
7.260030003000299985e+03,2.785008731981971408e+01
7.260033003300330165e+03,2.784539634245401984e+01
7.260036003600360345e+03,2.784069171447985269e+01
7.260039003900389616e+03,2.783597344064520840e+01
7.260042004200419797e+03,2.783124152570761112e+01
7.260045004500449977e+03,2.782649597444260792e+01
7.260048004800480157e+03,2.782173679163808089e+01
7.260051005100510338e+03,2.781696398209566112e+01
7.260054005400539609e+03,2.781217755063219244e+01
7.260057005700569789e+03,2.780737750207389780e+01
7.260060006000599969e+03,2.780256384126509417e+01
7.260063006300630150e+03,2.779773657306238377e+01
7.260066006600660330e+03,2.779289570233608586e+01
7.260069006900690511e+03,2.778804123397026160e+01
7.260072007200719781e+03,2.778317317286416355e+01
7.260075007500749962e+03,2.777829152392630618e+01
7.260078007800780142e+03,2.777339629208337257e+01
7.260081008100810323e+03,2.776848748227427066e+01
7.260084008400840503e+03,2.776356509945158280e+01
7.260087008700869774e+03,2.775862914858310404e+01
7.260090009000899954e+03,2.775367963464582033e+01
7.260093009300930134e+03,2.774871656263488973e+01
7.260096009600960315e+03,2.774373993755766321e+01
7.260099009900990495e+03,2.773874976443515550e+01
7.260102010201019766e+03,2.773374604830356915e+01
7.260105010501049946e+03,2.772872879420821945e+01
7.260108010801080127e+03,2.772369800721264710e+01
7.260111011101110307e+03,2.771865369239248622e+01
7.260114011401140488e+03,2.771359585483707377e+01
7.260117011701169758e+03,2.770852449965089548e+01
7.260120012001199939e+03,2.770343963194746095e+01
7.260123012301230119e+03,2.769834125685854076e+01
7.260126012601260300e+03,2.769322937952798824e+01
7.260129012901290480e+03,2.768810400511328496e+01
7.260132013201319751e+03,2.768296513878706833e+01
7.260135013501349931e+03,2.767781278573093928e+01
7.260138013801380112e+03,2.767264695114477391e+01
7.260141014101410292e+03,2.766746764024047778e+01
7.260144014401440472e+03,2.766227485824356336e+01
7.260147014701469743e+03,2.765706861039472031e+01
7.260150015001499924e+03,2.765184890194347389e+01
7.260153015301530104e+03,2.764661573815767071e+01
7.260156015601560284e+03,2.764136912431716198e+01
7.260159015901590465e+03,2.763610906571535253e+01
7.260162016201619736e+03,2.763083556766083504e+01
7.260165016501649916e+03,2.762554863547094186e+01
7.260168016801680096e+03,2.762024827448135866e+01
7.260171017101710277e+03,2.761493449003974732e+01
7.260174017401740457e+03,2.760960728750727355e+01
7.260177017701769728e+03,2.760426667226028030e+01
7.260180018001799908e+03,2.759891264968379687e+01
7.260183018301830089e+03,2.759354522518121655e+01
7.260186018601860269e+03,2.758816440416783777e+01
7.260189018901890449e+03,2.758277019207248770e+01
7.260192019201920630e+03,2.757736259433749026e+01
7.260195019501949901e+03,2.757194161642032526e+01
7.260198019801980081e+03,2.756650726378704519e+01
7.260201020102010261e+03,2.756105954192212337e+01
7.260204020402040442e+03,2.755559845632186367e+01
7.260207020702070622e+03,2.755012401249607379e+01
7.260210021002099893e+03,2.754463621596970313e+01
7.260213021302130073e+03,2.753913507227615654e+01
7.260216021602160254e+03,2.753362058696733072e+01
7.260219021902190434e+03,2.752809276560689256e+01
7.260222022202220614e+03,2.752255161377196657e+01
7.260225022502249885e+03,2.751699713705482964e+01
7.260228022802280066e+03,2.751142934105612525e+01
7.260231023102310246e+03,2.750584823139500656e+01
7.260234023402340426e+03,2.750025381370237554e+01
7.260237023702370607e+03,2.749464609362253853e+01
7.260240024002399878e+03,2.748902507681495777e+01
7.260243024302430058e+03,2.748339076894736621e+01
7.260246024602460238e+03,2.747774317570604552e+01
7.260249024902490419e+03,2.747208230278896579e+01
7.260252025202520599e+03,2.746640815590750151e+01
7.260255025502549870e+03,2.746072074078812264e+01
7.260258025802580050e+03,2.745502006316554144e+01
7.260261026102610231e+03,2.744930612879301179e+01
7.260264026402640411e+03,2.744357894343543691e+01
7.260267026702670591e+03,2.743783851287108178e+01
7.260270027002699862e+03,2.743208484289334237e+01
7.260273027302730043e+03,2.742631793930370776e+01
7.260276027602760223e+03,2.742053780792227613e+01
7.260279027902790403e+03,2.741474445458074527e+01
7.260282028202820584e+03,2.740893788512413565e+01
7.260285028502849855e+03,2.740311810541258097e+01
7.260288028802880035e+03,2.739728512131424765e+01
7.260291029102910215e+03,2.739143893871591828e+01
7.260294029402940396e+03,2.738557956351591827e+01
7.260297029702970576e+03,2.737970700162589921e+01
7.260300030002999847e+03,2.737382125897257978e+01
7.260303030303030027e+03,2.736792234149064740e+01
7.260306030603060208e+03,2.736201025513341989e+01
7.260309030903090388e+03,2.735608500586572234e+01
7.260312031203120569e+03,2.735014659966565276e+01
7.260315031503150749e+03,2.734419504252458921e+01
7.260318031803180020e+03,2.733823034044900169e+01
7.260321032103210200e+03,2.733225249945316548e+01
7.260324032403240381e+03,2.732626152557005028e+01
7.260327032703270561e+03,2.732025742484410102e+01
7.260330033003300741e+03,2.731424020333294322e+01
7.260333033303330012e+03,2.730820986710931564e+01
7.260336033603360193e+03,2.730216642225369128e+01
7.260339033903390373e+03,2.729610987486524820e+01
7.260342034203420553e+03,2.729004023105455801e+01
7.260345034503450734e+03,2.728395749694542971e+01
7.260348034803480004e+03,2.727786167867666478e+01
7.260351035103510185e+03,2.727175278239479184e+01
7.260354035403540365e+03,2.726563081426504809e+01
7.260357035703570546e+03,2.725949578046399324e+01
7.260360036003600726e+03,2.725334768718138889e+01
7.260363036303629997e+03,2.724718654062206724e+01
7.260366036603660177e+03,2.724101234699835672e+01
7.260369036903690358e+03,2.723482511254142935e+01
7.260372037203720538e+03,2.722862484349368728e+01
7.260375037503750718e+03,2.722241154611072389e+01
7.260378037803779989e+03,2.721618522666313922e+01
7.260381038103810170e+03,2.720994589142902598e+01
7.260384038403840350e+03,2.720369354670525297e+01
7.260387038703870530e+03,2.719742819879993334e+01
7.260390039003900711e+03,2.719114985403432883e+01
7.260393039303929982e+03,2.718485851874466519e+01
7.260396039603960162e+03,2.717855419927461114e+01
7.260399039903990342e+03,2.717223690198661146e+01
7.260402040204020523e+03,2.716590663325431265e+01
7.260405040504050703e+03,2.715956339946446363e+01
7.260408040804079974e+03,2.715320720701880575e+01
7.260411041104110154e+03,2.714683806232637409e+01
7.260414041404140335e+03,2.714045597181505443e+01
7.260417041704170515e+03,2.713406094192386675e+01
7.260420042004200695e+03,2.712765297910489082e+01
7.260423042304230876e+03,2.712123208982323064e+01
7.260426042604260147e+03,2.711479828055903596e+01
7.260429042904290327e+03,2.710835155779957617e+01
7.260432043204320507e+03,2.710189192805104597e+01
7.260435043504350688e+03,2.709541939783069608e+01
7.260438043804380868e+03,2.708893397366879086e+01
7.260441044104410139e+03,2.708243566211057640e+01
7.260444044404440319e+03,2.707592446970839006e+01
7.260447044704470500e+03,2.706940040303347317e+01
7.260450045004500680e+03,2.706286346866809112e+01
7.260453045304530860e+03,2.705631367320749092e+01
7.260456045604560131e+03,2.704975102326188363e+01
7.260459045904590312e+03,2.704317552544848624e+01
7.260462046204620492e+03,2.703658718640342684e+01
