Time (BJD_TBD - 2450000), L_h/L_star (ppm)
1.065014266203716397e+04,9.551864087539442494e+00
1.065014268332748725e+04,9.551960311756520383e+00
1.065014270461781052e+04,9.552056536215618010e+00
1.065014272590813380e+04,9.552152760916722940e+00
1.065014274719845707e+04,9.552248985859842279e+00
1.065014276848878217e+04,9.552345211053182794e+00
1.065014278977910544e+04,9.552441436480307857e+00
1.065014281106942872e+04,9.552537662149427788e+00
1.065014283235975199e+04,9.552633888060533707e+00
1.065014285365007527e+04,9.552730114213629165e+00
1.065014287494039854e+04,9.552826340608701727e+00
1.065014289623072182e+04,9.552922567245747842e+00
1.065014291752104509e+04,9.553018794124762181e+00
1.065014293881136837e+04,9.553115021245748295e+00
1.065014296010169346e+04,9.553211248616909401e+00
1.065014298139201674e+04,9.553307476221810646e+00
1.065014300268234001e+04,9.553403704068662350e+00
1.065014302397266329e+04,9.553499932157455632e+00
1.065014304526298656e+04,9.553596160488192268e+00
1.065014306655330984e+04,9.553692389060866930e+00
1.065014308784363311e+04,9.553788617875465405e+00
1.065014310913395639e+04,9.553884846931996577e+00
1.065014313042427966e+04,9.553981076230446234e+00
1.065014315171460476e+04,9.554077305779035356e+00
1.065014317300492803e+04,9.554173535561314878e+00
1.065014319429525131e+04,9.554269765585498675e+00
1.065014321558557458e+04,9.554365995851586746e+00
1.065014323687589786e+04,9.554462226359571986e+00
1.065014325816622113e+04,9.554558457109447289e+00
1.065014327945654441e+04,9.554654688101209103e+00
1.065014330074686768e+04,9.554750919334855652e+00
1.065014332203719096e+04,9.554847150810374501e+00
1.065014334332751605e+04,9.554943382535995511e+00
1.065014336461783932e+04,9.555039614495255407e+00
1.065014338590816260e+04,9.555135846696382274e+00
1.065014340719848587e+04,9.555232079139363677e+00
1.065014342848880915e+04,9.555328311824201393e+00
1.065014344977913242e+04,9.555424544750882987e+00
1.065014347106945570e+04,9.555520777919410236e+00
1.065014349235977897e+04,9.555617011329774257e+00
1.065014351365010225e+04,9.555713244981973276e+00
1.065014353494042734e+04,9.555809478884221164e+00
1.065014355623075062e+04,9.555905713020074188e+00
1.065014357752107389e+04,9.556001947397744445e+00
1.065014359881139717e+04,9.556098182017224829e+00
1.065014362010172044e+04,9.556194416878517117e+00
1.065014364139204372e+04,9.556290651981612427e+00
1.065014366268236699e+04,9.556386887326505430e+00
1.065014368397269027e+04,9.556483122913194350e+00
1.065014370526301354e+04,9.556579358741672081e+00
1.065014372655333864e+04,9.556675594820159603e+00
1.065014374784366191e+04,9.556771831132202522e+00
1.065014376913398519e+04,9.556868067686016488e+00
1.065014379042430846e+04,9.556964304481601502e+00
1.065014381171463174e+04,9.557060541518957564e+00
1.065014383300495501e+04,9.557156778798065133e+00
1.065014385429527829e+04,9.557253016318933092e+00
1.065014387558560156e+04,9.557349254081549006e+00
1.065014389687592484e+04,9.557445492085912875e+00
1.065014391816624993e+04,9.557541730340238573e+00
1.065014393945657321e+04,9.557637968828075259e+00
1.065014396074689648e+04,9.557734207557643913e+00
1.065014398203721976e+04,9.557830446528937429e+00
1.065014400332754303e+04,9.557926685741952255e+00
1.065014402461786631e+04,9.558022925196683062e+00
1.065014404590818958e+04,9.558119164893124520e+00
1.065014406719851286e+04,9.558215404831274853e+00
1.065014408848883613e+04,9.558311645011125179e+00
1.065014410977916123e+04,9.558407885440891150e+00
1.065014413106948450e+04,9.558504126104130805e+00
1.065014415235980778e+04,9.558600367009054466e+00
1.065014417365013105e+04,9.558696608155660357e+00
1.065014419494045433e+04,9.558792849543944925e+00
1.065014421623077760e+04,9.558889091173897512e+00
1.065014423752110088e+04,9.558985333045519894e+00
1.065014425881142415e+04,9.559081575158804966e+00
1.065014428010174743e+04,9.559177817513747399e+00
1.065014430139207252e+04,9.559274060118562844e+00
1.065014432268239580e+04,9.559370302956802234e+00
1.065014434397271907e+04,9.559466546036688328e+00
1.065014436526304235e+04,9.559562789358208690e+00
1.065014438655336562e+04,9.559659032921365096e+00
1.065014440784368890e+04,9.559755276726146889e+00
1.065014442913401217e+04,9.559851520772550515e+00
1.065014445042433545e+04,9.559947765060574199e+00
1.065014447171465872e+04,9.560044009590214387e+00
1.065014449300498381e+04,9.560140254369679624e+00
1.065014451429530709e+04,9.560236499382529729e+00
1.065014453558563036e+04,9.560332744636976798e+00
1.065014455687595364e+04,9.560428990133019056e+00
1.065014457816627691e+04,9.560525235870645844e+00
1.065014459945660019e+04,9.560621481849860714e+00
1.065014462074692347e+04,9.560717728070656563e+00
1.065014464203724674e+04,9.560813974533022730e+00
1.065014466332757002e+04,9.560910221236955664e+00
1.065014468461789511e+04,9.561006468190681673e+00
1.065014470590821838e+04,9.561102715377741035e+00
1.065014472719854166e+04,9.561198962806358281e+00
1.065014474848886493e+04,9.561295210476524531e+00
1.065014476977918821e+04,9.561391458388230902e+00
1.065014479106951148e+04,9.561487706541480946e+00
1.065014481235983476e+04,9.561583954936262231e+00
1.065014483365015803e+04,9.561680203572576531e+00
1.065014485494048131e+04,9.561776452450416741e+00
1.065014487623080640e+04,9.561872701578003841e+00
1.065014489752112968e+04,9.561968950938878109e+00
1.065014491881145295e+04,9.562065200541265853e+00
1.065014494010177623e+04,9.562161450385154637e+00
1.065014496139209950e+04,9.562257700470551569e+00
1.065014498268242278e+04,9.562353950797435331e+00
1.065014500397274605e+04,9.562450201365814806e+00
1.065014502526306933e+04,9.562546452175684664e+00
1.065014504655339260e+04,9.562642703227030694e+00
1.065014506784371770e+04,9.562738954528080981e+00
1.065014508913404097e+04,9.562835206062375804e+00
1.065014511042436425e+04,9.562931457838132587e+00
1.065014513171468752e+04,9.563027709855356662e+00
1.065014515300501080e+04,9.563123962114033816e+00
1.065014517429533407e+04,9.563220214614167602e+00
1.065014519558565735e+04,9.563316467355745587e+00
1.065014521687598062e+04,9.563412720338767770e+00
1.065014523816630390e+04,9.563508973563228821e+00
1.065014525945662899e+04,9.563605227037340839e+00
1.065014528074695227e+04,9.563701480744661865e+00
1.065014530203727554e+04,9.563797734693402219e+00
1.065014532332759882e+04,9.563893988883556574e+00
1.065014534461792209e+04,9.563990243315128481e+00
1.065014536590824537e+04,9.564086497988110835e+00
1.065014538719856864e+04,9.564182752902491202e+00
1.065014540848889192e+04,9.564279008058269582e+00
1.065014542977921519e+04,9.564375263455445975e+00
1.065014545106954029e+04,9.564471519102230701e+00
1.065014547235986356e+04,9.564567774982176473e+00
1.065014549365018684e+04,9.564664031103502495e+00
1.065014551494051011e+04,9.564760287466196331e+00
1.065014553623083339e+04,9.564856544070263311e+00
1.065014555752115666e+04,9.564952800915694553e+00
1.065014557881147994e+04,9.565049058002481175e+00
1.065014560010180321e+04,9.565145315330626730e+00
1.065014562139212649e+04,9.565241572900120559e+00
1.065014564268245158e+04,9.565337830719180090e+00
1.065014566397277486e+04,9.565434088771358034e+00
1.065014568526309813e+04,9.565530347064868266e+00
1.065014570655342141e+04,9.565626605599705456e+00
1.065014572784374468e+04,9.565722864375871382e+00
1.065014574913406796e+04,9.565819123393357160e+00
1.065014577042439123e+04,9.565915382652159238e+00
1.065014579171471451e+04,9.566011642152268735e+00
1.065014581300503778e+04,9.566107901893683874e+00
1.065014583429536287e+04,9.566204161884622081e+00
1.065014585558568615e+04,9.566300422108634294e+00
1.065014587687600942e+04,9.566396682573934385e+00
1.065014589816633270e+04,9.566492943280520578e+00
1.065014591945665597e+04,9.566589204228391097e+00
1.065014594074697925e+04,9.566685465417533507e+00
1.065014596203730252e+04,9.566781726847947809e+00
1.065014598332762580e+04,9.566877988519628673e+00
1.065014600461794907e+04,9.566974250432568994e+00
1.065014602590827417e+04,9.567070512594993303e+00
1.065014604719859744e+04,9.567166774990445433e+00
1.065014606848892072e+04,9.567263037627137479e+00
1.065014608977924399e+04,9.567359300505078323e+00
1.065014611106956727e+04,9.567455563624251980e+00
1.065014613235989054e+04,9.567551826984658447e+00
1.065014615365021382e+04,9.567648090586288845e+00
1.065014617494053709e+04,9.567744354429144948e+00
1.065014619623086037e+04,9.567840618513217876e+00
1.065014621752118546e+04,9.567936882846728608e+00
1.065014623881150874e+04,9.568033147413220973e+00
1.065014626010183201e+04,9.568129412220912400e+00
1.065014628139215529e+04,9.568225677269806440e+00
1.065014630268247856e+04,9.568321942559890658e+00
1.065014632397280184e+04,9.568418208091165056e+00
1.065014634526312511e+04,9.568514473863618974e+00
1.065014636655344839e+04,9.568610739877252414e+00
1.065014638784377166e+04,9.568707006132061821e+00
1.065014640913409676e+04,9.568803272636262847e+00
1.065014643042442003e+04,9.568899539373399321e+00
1.065014645171474331e+04,9.568995806351697553e+00
1.065014647300506658e+04,9.569092073571145107e+00
1.065014649429538986e+04,9.569188341031743761e+00
1.065014651558571313e+04,9.569284608733488184e+00
1.065014653687603641e+04,9.569380876676369496e+00
1.065014655816635968e+04,9.569477144860385920e+00
1.065014657945668296e+04,9.569573413285533903e+00
1.065014660074700805e+04,9.569669681960025542e+00
1.065014662203733133e+04,9.569765950867415327e+00
1.065014664332765460e+04,9.569862220015915355e+00
1.065014666461797788e+04,9.569958489405529178e+00
1.065014668590830115e+04,9.570054759036247916e+00
1.065014670719862443e+04,9.570151028908062685e+00
1.065014672848894770e+04,9.570247299020975262e+00
1.065014674977927098e+04,9.570343569374978543e+00
1.065014677106959425e+04,9.570439839970067197e+00
1.065014679235991935e+04,9.570536110814456876e+00
1.065014681365024262e+04,9.570632381891696738e+00
1.065014683494056590e+04,9.570728653210011316e+00
1.065014685623088917e+04,9.570824924769391728e+00
1.065014687752121245e+04,9.570921196569829092e+00
1.065014689881153572e+04,9.571017468611328738e+00
1.065014692010185900e+04,9.571113740893874677e+00
1.065014694139218227e+04,9.571210013417465134e+00
1.065014696268250555e+04,9.571306286182098333e+00
1.065014698397283064e+04,9.571402559195989923e+00
1.065014700526315391e+04,9.571498832442690841e+00
1.065014702655347719e+04,9.571595105930418512e+00
1.065014704784380046e+04,9.571691379659165833e+00
1.065014706913412374e+04,9.571787653628932802e+00
1.065014709042444701e+04,9.571883927839710537e+00
1.065014711171477029e+04,9.571980202291491935e+00
1.065014713300509356e+04,9.572076476984278770e+00
1.065014715429541684e+04,9.572172751918058609e+00
1.065014717558574193e+04,9.572269027101061312e+00
1.065014719687606521e+04,9.572365302516821828e+00
1.065014721816638848e+04,9.572461578173566465e+00
1.065014723945671176e+04,9.572557854071291672e+00
1.065014726074703503e+04,9.572654130209983236e+00
1.065014728203735831e+04,9.572750406589646488e+00
1.065014730332768158e+04,9.572846683210272545e+00
1.065014732461800486e+04,9.572942960071852525e+00
1.065014734590832813e+04,9.573039237174391758e+00
1.065014736719865323e+04,9.573135514526098788e+00
1.065014738848897650e+04,9.573231792110526328e+00
1.065014740977929978e+04,9.573328069935893581e+00
1.065014743106962305e+04,9.573424348002193440e+00
1.065014745235994633e+04,9.573520626309420578e+00
1.065014747365026960e+04,9.573616904857569665e+00
1.065014749494059288e+04,9.573713183646640701e+00
1.065014751623091615e+04,9.573809462676626580e+00
1.065014753752123943e+04,9.573905741947520198e+00
1.065014755881156452e+04,9.574002021467540757e+00
1.065014758010188780e+04,9.574098301220240970e+00
1.065014760139221107e+04,9.574194581213831157e+00
1.065014762268253435e+04,9.574290861448313095e+00
1.065014764397285762e+04,9.574387141923672573e+00
1.065014766526318090e+04,9.574483422639920249e+00
1.065014768655350417e+04,9.574579703597040137e+00
1.065014770784382745e+04,9.574675984795028683e+00
1.065014772913415072e+04,9.574772266233880558e+00
1.065014775042447582e+04,9.574868547921825623e+00
1.065014777171479909e+04,9.574964829842393499e+00
1.065014779300512237e+04,9.575061112003812269e+00
1.065014781429544564e+04,9.575157394406078382e+00
1.065014783558576892e+04,9.575253677049184731e+00
1.065014785687609219e+04,9.575349959933124211e+00
1.065014787816641547e+04,9.575446243057898599e+00
1.065014789945673874e+04,9.575542526423499012e+00
1.065014792074706202e+04,9.575638810029914794e+00
1.065014794203738711e+04,9.575735093885375804e+00
1.065014796332771039e+04,9.575831377973422320e+00
1.065014798461803366e+04,9.575927662302275323e+00
1.065014800590835694e+04,9.576023946871927706e+00
1.065014802719868021e+04,9.576120231682379469e+00
1.065014804848900349e+04,9.576216516733621731e+00
1.065014806977932676e+04,9.576312802025652715e+00
1.065014809106965004e+04,9.576409087558465316e+00
1.065014811235997331e+04,9.576505373332048876e+00
1.065014813365029840e+04,9.576601659354633256e+00
1.065014815494062168e+04,9.576697945609760509e+00
1.065014817623094496e+04,9.576794232105648064e+00
1.065014819752126823e+04,9.576890518842295918e+00
1.065014821881159151e+04,9.576986805819693416e+00
1.065014824010191478e+04,9.577083093037844108e+00
1.065014826139223806e+04,9.577179380496732009e+00
1.065014828268256133e+04,9.577275668196357117e+00
1.065014830397288461e+04,9.577371956136715880e+00
1.065014832526320970e+04,9.577468244326031055e+00
1.065014834655353297e+04,9.577564532747844694e+00
1.065014836784385625e+04,9.577660821410372449e+00
1.065014838913417952e+04,9.577757110313616096e+00
1.065014841042450280e+04,9.577853399457566752e+00
1.065014843171482607e+04,9.577949688842222642e+00
1.065014845300514935e+04,9.578045978467574884e+00
1.065014847429547262e+04,9.578142268333623477e+00
1.065014849558579590e+04,9.578238558440357764e+00
1.065014851687612099e+04,9.578334848796002277e+00
1.065014853816644427e+04,9.578431139384102622e+00
1.065014855945676754e+04,9.578527430212876226e+00
1.065014858074709082e+04,9.578623721282317760e+00
1.065014860203741409e+04,9.578720012592427224e+00
1.065014862332773737e+04,9.578816304143192184e+00
1.065014864461806064e+04,9.578912595934614416e+00
1.065014866590838392e+04,9.579008887966683261e+00
1.065014868719870719e+04,9.579105180239396944e+00
1.065014870848903047e+04,9.579201472752751911e+00
1.065014872977935556e+04,9.579297765514972696e+00
1.065014875106967884e+04,9.579394058509594245e+00
1.065014877236000211e+04,9.579490351744839316e+00
1.065014879365032539e+04,9.579586645220707908e+00
1.065014881494064866e+04,9.579682938937187586e+00
1.065014883623097194e+04,9.579779232894278351e+00
1.065014885752129521e+04,9.579875527091974874e+00
1.065014887881161849e+04,9.579971821530275378e+00
1.065014890010194176e+04,9.580068116209170981e+00
1.065014892139226686e+04,9.580164411136886216e+00
1.065014894268259013e+04,9.580260706296959583e+00
1.065014896397291341e+04,9.580357001697612063e+00
1.065014898526323668e+04,9.580453297338840102e+00
1.065014900655355996e+04,9.580549593220641924e+00
1.065014902784388323e+04,9.580645889343008648e+00
1.065014904913420651e+04,9.580742185705934943e+00
1.065014907042452978e+04,9.580838482309424364e+00
1.065014909171485306e+04,9.580934779153464476e+00
1.065014911300517815e+04,9.581031076246279810e+00
1.065014913429550143e+04,9.581127373571403538e+00
1.065014915558582470e+04,9.581223671137067299e+00
1.065014917687614798e+04,9.581319968943263987e+00
1.065014919816647125e+04,9.581416266989988273e+00
1.065014921945679453e+04,9.581512565277234827e+00
1.065014924074711780e+04,9.581608863805000098e+00
1.065014926203744108e+04,9.581705162573276979e+00
1.065014928332776435e+04,9.581801461582063695e+00
1.065014930461808945e+04,9.581897760839577671e+00
1.065014932590841272e+04,9.581994060329362739e+00
1.065014934719873600e+04,9.582090360059645207e+00
1.065014936848905927e+04,9.582186660030412639e+00
1.065014938977938255e+04,9.582282960241665037e+00
1.065014941106970582e+04,9.582379260693391743e+00
1.065014943236002910e+04,9.582475561385594531e+00
1.065014945365035237e+04,9.582571862318266298e+00
1.065014947494067565e+04,9.582668163491401714e+00
1.065014949623100074e+04,9.582764464913223534e+00
1.065014951752132401e+04,9.582860766567272037e+00
1.065014953881164729e+04,9.582957068461769978e+00
1.065014956010197056e+04,9.583053370596713805e+00
1.065014958139229384e+04,9.583149672972096411e+00
1.065014960268261711e+04,9.583245975587910692e+00
1.065014962397294039e+04,9.583342278444156648e+00
1.065014964526326366e+04,9.583438581540825396e+00
1.065014966655358694e+04,9.583534884877916937e+00
1.065014968784391203e+04,9.583631188463648698e+00
1.065014970913423531e+04,9.583727492281562732e+00
1.065014973042455858e+04,9.583823796339883572e+00
1.065014975171488186e+04,9.583920100638604112e+00
1.065014977300520513e+04,9.584016405177715470e+00
1.065014979429552841e+04,9.584112709957226528e+00
1.065014981558585168e+04,9.584209014977115970e+00
1.065014983687617496e+04,9.584305320237389125e+00
1.065014985816649823e+04,9.584401625738033559e+00
1.065014987945682333e+04,9.584497931487280908e+00
1.065014990074714660e+04,9.584594237468667899e+00
1.065014992203746988e+04,9.584690543690413733e+00
1.065014994332779315e+04,9.584786850152514859e+00
1.065014996461811643e+04,9.584883156854967723e+00
1.065014998590843970e+04,9.584979463797768773e+00
1.065015000719876298e+04,9.585075770980910903e+00
1.065015002848908625e+04,9.585172078404385232e+00
1.065015004977940953e+04,9.585268386068191759e+00
1.065015007106973462e+04,9.585364693980560347e+00
1.065015009236005790e+04,9.585461002125018837e+00
1.065015011365038117e+04,9.585557310509795315e+00
1.065015013494070445e+04,9.585653619134880898e+00
1.065015015623102772e+04,9.585749928000275588e+00
1.065015017752135100e+04,9.585846237105970502e+00
1.065015019881167427e+04,9.585942546451965640e+00
1.065015022010199755e+04,9.586038856038250344e+00
1.065015024139232082e+04,9.586135165864826391e+00
1.065015026268264592e+04,9.586231475939914759e+00
1.065015028397296919e+04,9.586327786247052174e+00
1.065015030526329247e+04,9.586424096794457839e+00
1.065015032655361574e+04,9.586520407582135306e+00
1.065015034784393902e+04,9.586616718610072141e+00
1.065015036913426229e+04,9.586713029878270120e+00
1.065015039042458557e+04,9.586809341386723915e+00
1.065015041171490884e+04,9.586905653135421090e+00
1.065015043300523212e+04,9.587001965124365199e+00
1.065015045429555721e+04,9.587098277361777221e+00
1.065015047558588049e+04,9.587194589831193881e+00
1.065015049687620376e+04,9.587290902540839710e+00
1.065015051816652704e+04,9.587387215490702275e+00
1.065015053945685031e+04,9.587483528680794009e+00
1.065015056074717359e+04,9.587579842111097150e+00
1.065015058203749686e+04,9.587676155781609921e+00
1.065015060332782014e+04,9.587772469692325217e+00
1.065015062461814341e+04,9.587868783843244813e+00
1.065015064590846850e+04,9.587965098242580808e+00
1.065015066719879178e+04,9.588061412873882361e+00
1.065015068848911505e+04,9.588157727745370451e+00
1.065015070977943833e+04,9.588254042857032644e+00
1.065015073106976160e+04,9.588350358208874269e+00
1.065015075236008488e+04,9.588446673800884668e+00
1.065015077365040815e+04,9.588542989633060287e+00
1.065015079494073143e+04,9.588639305705399352e+00
1.065015081623105470e+04,9.588735622017891203e+00
1.065015083752137980e+04,9.588831938578763925e+00
1.065015085881170307e+04,9.588928255371552467e+00
1.065015088010202635e+04,9.589024572404483138e+00
1.065015090139234962e+04,9.589120889677547055e+00
1.065015092268267290e+04,9.589217207190742442e+00
1.065015094397299617e+04,9.589313524944067524e+00
1.065015096526331945e+04,9.589409842937509865e+00
1.065015098655364272e+04,9.589506161171073018e+00
1.065015100784396600e+04,9.589602479644744548e+00
1.065015102913429109e+04,9.589698798366752541e+00
1.065015105042461437e+04,9.589795117320631945e+00
1.065015107171493764e+04,9.589891436514607292e+00
1.065015109300526092e+04,9.589987755948678583e+00
1.065015111429558419e+04,9.590084075622835158e+00
1.065015113558590747e+04,9.590180395537073466e+00
1.065015115687623074e+04,9.590276715691389953e+00
1.065015117816655402e+04,9.590373036085779290e+00
1.065015119945687729e+04,9.590469356720232597e+00
1.065015122074720239e+04,9.590565677602979733e+00
1.065015124203752566e+04,9.590661998717557424e+00
1.065015126332784894e+04,9.590758320072183096e+00
1.065015128461817221e+04,9.590854641666860303e+00
1.065015130590849549e+04,9.590950963501580162e+00
1.065015132719881876e+04,9.591047285576339121e+00
1.065015134848914204e+04,9.591143607891128298e+00
1.065015136977946531e+04,9.591239930445945916e+00
1.065015139106978859e+04,9.591336253240790199e+00
1.065015141236011368e+04,9.591432576283882128e+00
1.065015143365043696e+04,9.591528899558756649e+00
1.065015145494076023e+04,9.591625223073640072e+00
1.065015147623108351e+04,9.591721546828527067e+00
1.065015149752140678e+04,9.591817870823414083e+00
1.065015151881173006e+04,9.591914195058294013e+00
1.065015154010205333e+04,9.592010519533159751e+00
1.065015156139237661e+04,9.592106844248014852e+00
1.065015158268269988e+04,9.592203169202850432e+00
1.065015160397302498e+04,9.592299494405889249e+00
1.065015162526334825e+04,9.592395819840666249e+00
1.065015164655367153e+04,9.592492145515405966e+00
1.065015166784399480e+04,9.592588471430110175e+00
1.065015168913431808e+04,9.592684797584762890e+00
1.065015171042464135e+04,9.592781123979371216e+00
1.065015173171496463e+04,9.592877450613922719e+00
1.065015175300528790e+04,9.592973777488415621e+00
1.065015177429561118e+04,9.593070104602844594e+00
1.065015179558593627e+04,9.593166431965430618e+00
1.065015181687625955e+04,9.593262759559713970e+00
1.065015183816658282e+04,9.593359087393917406e+00
1.065015185945690610e+04,9.593455415468035596e+00
1.065015188074722937e+04,9.593551743782066765e+00
1.065015190203755265e+04,9.593648072336003807e+00
1.065015192332787592e+04,9.593744401129843169e+00
1.065015194461819920e+04,9.593840730163579522e+00
1.065015196590852247e+04,9.593937059437202208e+00
1.065015198719884756e+04,9.594033388958942865e+00
1.065015200848917084e+04,9.594129718712334665e+00
1.065015202977949411e+04,9.594226048705605692e+00
1.065015205106981739e+04,9.594322378938747065e+00
1.065015207236014066e+04,9.594418709411755231e+00
1.065015209365046394e+04,9.594515040124626637e+00
1.065015211494078721e+04,9.594611371077354178e+00
1.065015213623111049e+04,9.594707702269930749e+00
1.065015215752143376e+04,9.594804033702361679e+00
1.065015217881175886e+04,9.594900365382859064e+00
1.065015220010208213e+04,9.594996697294959631e+00
1.065015222139240541e+04,9.595093029446902122e+00
1.065015224268272868e+04,9.595189361838670550e+00
1.065015226397305196e+04,9.595285694470257809e+00
1.065015228526337523e+04,9.595382027341667452e+00
1.065015230655369851e+04,9.595478360452888822e+00
1.065015232784402178e+04,9.595574693803918365e+00
1.065015234913434506e+04,9.595671027394748975e+00
1.065015237042467015e+04,9.595767361233606962e+00
1.065015239171499343e+04,9.595863695304027274e+00
1.065015241300531670e+04,9.595960029614241549e+00
1.065015243429563998e+04,9.596056364164237351e+00
1.065015245558596325e+04,9.596152698954014681e+00
1.065015247687628653e+04,9.596249033983561105e+00
1.065015249816660980e+04,9.596345369252876623e+00
1.065015251945693308e+04,9.596441704761955904e+00
1.065015254074725635e+04,9.596538040510798950e+00
1.065015256203758145e+04,9.596634376507619635e+00
1.065015258332790472e+04,9.596730712735965341e+00
1.065015260461822800e+04,9.596827049204053495e+00
1.065015262590855127e+04,9.596923385911882320e+00
1.065015264719887455e+04,9.597019722859444713e+00
1.065015266848919782e+04,9.597116060046737118e+00
1.065015268977952110e+04,9.597212397473752432e+00
1.065015271106984437e+04,9.597308735140492431e+00
1.065015273236016765e+04,9.597405073046939350e+00
1.065015275365049274e+04,9.597501411201335486e+00
1.065015277494081602e+04,9.597597749587203353e+00
1.065015279623113929e+04,9.597694088212772812e+00
1.065015281752146257e+04,9.597790427078033204e+00
1.065015283881178584e+04,9.597886766182988083e+00
1.065015286010210912e+04,9.597983105527626790e+00
1.065015288139243239e+04,9.598079445111947550e+00
1.065015290268275567e+04,9.598175784935945032e+00
1.065015292397307894e+04,9.598272124999608579e+00
1.065015294526340404e+04,9.598368465311176934e+00
1.065015296655372731e+04,9.598464805854172610e+00
1.065015298784405059e+04,9.598561146636821917e+00
1.065015300913437386e+04,9.598657487659123078e+00
1.065015303042469714e+04,9.598753828921074316e+00
1.065015305171502041e+04,9.598850170422666750e+00
1.065015307300534369e+04,9.598946512163895051e+00
1.065015309429566696e+04,9.599042854144755665e+00
1.065015311558599024e+04,9.599139196365239712e+00
1.065015313687631533e+04,9.599235538833580605e+00
1.065015315816663860e+04,9.599331881533307964e+00
1.065015317945696188e+04,9.599428224472642768e+00
1.065015320074728515e+04,9.599524567651590345e+00
1.065015322203760843e+04,9.599620911070138263e+00
1.065015324332793170e+04,9.599717254728284743e+00
1.065015326461825498e+04,9.599813598626024458e+00
1.065015328590857825e+04,9.599909942763350301e+00
1.065015330719890153e+04,9.600006287140256944e+00
1.065015332848922662e+04,9.600102631764977801e+00
1.065015334977954990e+04,9.600198976621035385e+00
1.065015337106987317e+04,9.600295321716664887e+00
1.065015339236019645e+04,9.600391667051859201e+00
1.065015341365051972e+04,9.600488012626609446e+00
1.065015343494084300e+04,9.600584358440913846e+00
1.065015345623116627e+04,9.600680704494765294e+00
1.065015347752148955e+04,9.600777050788165567e+00
1.065015349881181282e+04,9.600873397321098679e+00
1.065015352010213792e+04,9.600969744101798042e+00
1.065015354139246119e+04,9.601066091113796830e+00
1.065015356268278447e+04,9.601162438365319574e+00
1.065015358397310774e+04,9.601258785856360944e+00
1.065015360526343102e+04,9.601355133586920942e+00
1.065015362655375429e+04,9.601451481556983580e+00
1.065015364784407757e+04,9.601547829766555964e+00
1.065015366913440084e+04,9.601644178215623882e+00
1.065015369042472412e+04,9.601740526904189110e+00
1.065015371171504921e+04,9.601836875840476182e+00
1.065015373300537249e+04,9.601933225008016493e+00
1.065015375429569576e+04,9.602029574415038127e+00
1.065015377558601904e+04,9.602125924061532203e+00
1.065015379687634231e+04,9.602222273947496944e+00
1.065015381816666559e+04,9.602318624072930575e+00
1.065015383945698886e+04,9.602414974437824213e+00
1.065015386074731214e+04,9.602511325042167201e+00
1.065015388203763541e+04,9.602607675885968419e+00
1.065015390332796051e+04,9.602704026977439966e+00
1.065015392461828378e+04,9.602800378300125672e+00
1.065015394590860706e+04,9.602896729862250069e+00
1.065015396719893033e+04,9.602993081663800723e+00
1.065015398848925361e+04,9.603089433704779410e+00
1.065015400977957688e+04,9.603185785985177247e+00
1.065015403106990016e+04,9.603282138504996013e+00
1.065015405236022343e+04,9.603378491264219718e+00
1.065015407365054671e+04,9.603474844262857246e+00
1.065015409494087180e+04,9.603571197509127799e+00
1.065015411623119508e+04,9.603667550986559220e+00
1.065015413752151835e+04,9.603763904703384924e+00
1.065015415881184163e+04,9.603860258659597804e+00
1.065015418010216490e+04,9.603956612855192532e+00
1.065015420139248818e+04,9.604052967290163778e+00
1.065015422268281145e+04,9.604149321964506214e+00
1.065015424397313473e+04,9.604245676878219840e+00
1.065015426526345800e+04,9.604342032031293996e+00
1.065015428655378309e+04,9.604438387431962099e+00
1.065015430784410637e+04,9.604534743063746660e+00
1.065015432913442964e+04,9.604631098934881095e+00
1.065015435042475292e+04,9.604727455045354745e+00
1.065015437171507619e+04,9.604823811395171163e+00
1.065015439300539947e+04,9.604920167984319690e+00
1.065015441429572275e+04,9.605016524812791445e+00
1.065015443558604602e+04,9.605112881880591758e+00
1.065015445687636930e+04,9.605209239187713521e+00
1.065015447816669439e+04,9.605305596742377716e+00
1.065015449945701766e+04,9.605401954528119290e+00
1.065015452074734094e+04,9.605498312553162776e+00
1.065015454203766421e+04,9.605594670817508174e+00
1.065015456332798749e+04,9.605691029321143048e+00
1.065015458461831076e+04,9.605787388064072729e+00
1.065015460590863404e+04,9.605883747046283005e+00
1.065015462719895731e+04,9.605980106267772101e+00
1.065015464848928059e+04,9.606076465728538238e+00
