Time (BJD_TBD - 2450000), L_total/L_star (ppm)
7.260000000000000000e+03,1.451438606939635292e+03
7.260003000300030180e+03,1.446793261119029694e+03
7.260006000600060361e+03,1.442089374688045382e+03
7.260009000900089632e+03,1.437327566227378384e+03
7.260012001200119812e+03,1.432508462127748089e+03
7.260015001500149992e+03,1.427632696507356741e+03
7.260018001800180173e+03,1.422700911113800430e+03
7.260021002100210353e+03,1.417713755232043695e+03
7.260024002400239624e+03,1.412671885591393448e+03
7.260027002700269804e+03,1.407575966263715145e+03
7.260030003000299985e+03,1.402426668575861413e+03
7.260033003300330165e+03,1.397224671005781602e+03
7.260036003600360345e+03,1.391970659085193347e+03
7.260039003900389616e+03,1.386665325301316898e+03
7.260042004200419797e+03,1.381309368989526547e+03
7.260045004500449977e+03,1.375903496241098082e+03
7.260048004800480157e+03,1.370448419793901394e+03
7.260051005100510338e+03,1.364944858930136206e+03
7.260054005400539609e+03,1.359393539373207659e+03
7.260057005700569789e+03,1.353795193175215672e+03
7.260060006000599969e+03,1.348150558620372294e+03
7.260063006300630150e+03,1.342460380110693450e+03
7.260066006600660330e+03,1.336725408059190386e+03
7.260069006900690511e+03,1.330946398780510663e+03
7.260072007200719781e+03,1.325124114382493872e+03
7.260075007500749962e+03,1.319259322648039188e+03
7.260078007800780142e+03,1.313352796933810623e+03
7.260081008100810323e+03,1.307405316050501369e+03
7.260084008400840503e+03,1.301417664151107147e+03
7.260087008700869774e+03,1.295390630618500381e+03
7.260090009000899954e+03,1.289325009943104078e+03
7.260093009300930134e+03,1.283221601618097111e+03
7.260096009600960315e+03,1.277081210015648367e+03
7.260099009900990495e+03,1.270904644271560755e+03
7.260102010201019766e+03,1.264692718169296995e+03
7.260105010501049946e+03,1.258446250013908866e+03
7.260108010801080127e+03,1.252166062524155677e+03
7.260111011101110307e+03,1.245852982705170916e+03
7.260114011401140488e+03,1.239507841729915981e+03
7.260117011701169758e+03,1.233131474820097992e+03
7.260120012001199939e+03,1.226724721116831915e+03
7.260123012301230119e+03,1.220288423570083523e+03
7.260126012601260300e+03,1.213823428808250810e+03
7.260129012901290480e+03,1.207330587016879235e+03
7.260132013201319751e+03,1.200810751816920174e+03
7.260135013501349931e+03,1.194264780132617034e+03
7.260138013801380112e+03,1.187693532078696762e+03
7.260141014101410292e+03,1.181097870827358520e+03
7.260144014401440472e+03,1.174478662484705865e+03
7.260147014701469743e+03,1.167836775966817868e+03
7.260150015001499924e+03,1.161173082865349215e+03
7.260153015301530104e+03,1.154488457332906137e+03
7.260156015601560284e+03,1.147783775947943468e+03
7.260159015901590465e+03,1.141059917589386259e+03
7.260162016201619736e+03,1.134317763310977170e+03
7.260165016501649916e+03,1.127558196205104196e+03
7.260168016801680096e+03,1.120782101286799389e+03
7.260171017101710277e+03,1.113990365357049313e+03
7.260174017401740457e+03,1.107183876876085151e+03
7.260177017701769728e+03,1.100363525836486360e+03
7.260180018001799908e+03,1.093530203625742161e+03
7.260183018301830089e+03,1.086684802909322798e+03
7.260186018601860269e+03,1.079828217492918611e+03
7.260189018901890449e+03,1.072961342194878853e+03
7.260192019201920630e+03,1.066085072716462491e+03
7.260195019501949901e+03,1.059200305514089905e+03
7.260198019801980081e+03,1.052307937661067626e+03
7.260201020102010261e+03,1.045408866730137788e+03
7.260204020402040442e+03,1.038503990655117377e+03
7.260207020702070622e+03,1.031594207602949609e+03
7.260210021002099893e+03,1.024680415845772131e+03
7.260213021302130073e+03,1.017763513622522623e+03
7.260216021602160254e+03,1.010844399021543040e+03
7.260219021902190434e+03,1.003923969842294582e+03
7.260222022202220614e+03,9.970031234676214353e+02
7.260225022502249885e+03,9.900827567361236561e+02
7.260228022802280066e+03,9.831637658041577197e+02
7.260231023102310246e+03,9.762470460289561061e+02
7.260234023402340426e+03,9.693334918309265049e+02
7.260237023702370607e+03,9.624239965666192802e+02
7.260240024002399878e+03,9.555194524018855873e+02
7.260243024302430058e+03,9.486207501747933293e+02
7.260246024602460238e+03,9.417287792797060320e+02
7.260249024902490419e+03,9.348444275306885629e+02
7.260252025202520599e+03,9.279685810356540969e+02
7.260255025502549870e+03,9.211021240707926836e+02
7.260258025802580050e+03,9.142459389449132914e+02
7.260261026102610231e+03,9.074009058849296707e+02
7.260264026402640411e+03,9.005679029008801990e+02
7.260267026702670591e+03,8.937478056617350148e+02
7.260270027002699862e+03,8.869414873715696785e+02
7.260273027302730043e+03,8.801498186358376188e+02
7.260276027602760223e+03,8.733736673487061353e+02
7.260279027902790403e+03,8.666138985601958211e+02
7.260282028202820584e+03,8.598713743541147778e+02
7.260285028502849855e+03,8.531469537264460996e+02
7.260288028802880035e+03,8.464414924540562879e+02
7.260291029102910215e+03,8.397558429843055592e+02
7.260294029402940396e+03,8.330908543048076353e+02
7.260297029702970576e+03,8.264473718239537448e+02
7.260300030002999847e+03,8.198262372519704968e+02
7.260303030303030027e+03,8.132282884725552776e+02
7.260306030603060208e+03,8.066543594351868478e+02
7.260309030903090388e+03,8.001052800279883286e+02
7.260312031203120569e+03,7.935818759612914164e+02
7.260315031503150749e+03,7.870849686498540905e+02
7.260318031803180020e+03,7.806153750977227901e+02
7.260321032103210200e+03,7.741739077740028279e+02
7.260324032403240381e+03,7.677613745089563508e+02
7.260327032703270561e+03,7.613785783712160082e+02
7.260330033003300741e+03,7.550263175555728594e+02
7.260333033303330012e+03,7.487053852714841469e+02
7.260336033603360193e+03,7.424165696228035358e+02
7.260339033903390373e+03,7.361606535074712383e+02
7.260342034203420553e+03,7.299384144988538310e+02
7.260345034503450734e+03,7.237506247375239354e+02
7.260348034803480004e+03,7.175980508238305902e+02
7.260351035103510185e+03,7.114814537020362195e+02
7.260354035403540365e+03,7.054015885639831822e+02
7.260357035703570546e+03,6.993592047350031180e+02
7.260360036003600726e+03,6.933550455700892599e+02
7.260363036303629997e+03,6.873898483509383368e+02
7.260366036603660177e+03,6.814643441749230988e+02
7.260369036903690358e+03,6.755792578631024980e+02
7.260372037203720538e+03,6.697353078511213198e+02
7.260375037503750718e+03,6.639332060901700743e+02
7.260378037803779989e+03,6.581736579488817824e+02
7.260381038103810170e+03,6.524573621075494430e+02
7.260384038403840350e+03,6.467850104708329582e+02
7.260387038703870530e+03,6.411572880640541143e+02
7.260390039003900711e+03,6.355748729393096710e+02
7.260393039303929982e+03,6.300384360825962631e+02
7.260396039603960162e+03,6.245486413136599140e+02
7.260399039903990342e+03,6.191061452037345134e+02
7.260402040204020523e+03,6.137115969776108386e+02
7.260405040504050703e+03,6.083656384252599310e+02
7.260408040804079974e+03,6.030689038145256973e+02
7.260411041104110154e+03,5.978220197969814080e+02
7.260414041404140335e+03,5.926256053310099787e+02
7.260417041704170515e+03,5.874802715900070780e+02
7.260420042004200695e+03,5.823866218798436876e+02
7.260423042304230876e+03,5.773452515559334870e+02
7.260426042604260147e+03,5.723567479430415688e+02
7.260429042904290327e+03,5.674216902487952439e+02
7.260432043204320507e+03,5.625406494935623414e+02
7.260435043504350688e+03,5.577141884264547116e+02
7.260438043804380868e+03,5.529428614502020309e+02
7.260441044104410139e+03,5.482272145472124976e+02
7.260444044404440319e+03,5.435677851998165124e+02
7.260447044704470500e+03,5.389651023261011460e+02
7.260450045004500680e+03,5.344196862027550878e+02
7.260453045304530860e+03,5.299320483964222603e+02
7.260456045604560131e+03,5.255026916962956420e+02
7.260459045904590312e+03,5.211321100413767908e+02
7.260462046204620492e+03,5.168207884625130646e+02
7.260465046504650672e+03,5.125692030123610721e+02
7.260468046804680853e+03,5.083778207034740717e+02
7.260471047104710124e+03,5.042470994476759074e+02
7.260474047404740304e+03,5.001774879906010938e+02
7.260477047704770484e+03,4.961694258601500565e+02
7.260480048004800665e+03,4.922233433038240378e+02
7.260483048304830845e+03,4.883396612337741090e+02
7.260486048604860116e+03,4.845187911731761119e+02
7.260489048904890296e+03,4.807611351982833980e+02
7.260492049204920477e+03,4.770670858934979606e+02
7.260495049504950657e+03,4.734370262962956417e+02
7.260498049804980838e+03,4.698713298494389505e+02
7.260501050105010108e+03,4.663703603545466194e+02
7.260504050405040289e+03,4.629344719218653381e+02
7.260507050705070469e+03,4.595640089321221922e+02
7.260510051005100649e+03,4.562593059892360543e+02
7.260513051305130830e+03,4.530206878798651360e+02
7.260516051605160101e+03,4.498484695343390740e+02
7.260519051905190281e+03,4.467429559843227480e+02
7.260522052205220461e+03,4.437044423315933841e+02
7.260525052505250642e+03,4.407332137087012143e+02
7.260528052805280822e+03,4.378295452459948933e+02
7.260531053105310093e+03,4.349937020400545862e+02
7.260534053405340273e+03,4.322259391193933880e+02
7.260537053705370454e+03,4.295265014202724387e+02
7.260540054005400634e+03,4.268956237554447739e+02
7.260543054305430815e+03,4.243335307887721228e+02
7.260546054605460995e+03,4.218404370105249086e+02
7.260549054905490266e+03,4.194165467149583151e+02
7.260552055205520446e+03,4.170620539758038490e+02
7.260555055505550627e+03,4.147771426306465514e+02
7.260558055805580807e+03,4.125619862594961091e+02
7.260561056105610987e+03,4.104167481686266683e+02
7.260564056405640258e+03,4.083415813758576292e+02
7.260567056705670439e+03,4.063366285942881291e+02
