Time (BJD_TBD - 2450000), L_total/L_star (ppm)
1.014093855324061587e+04,1.091083312778999471e+03
1.014093857208740883e+04,1.091110383141950706e+03
1.014093859093419996e+04,1.091137451608886749e+03
1.014093860978099292e+04,1.091164518184912367e+03
1.014093862862778406e+04,1.091191582864682232e+03
1.014093864747457701e+04,1.091218645653299973e+03
1.014093866632136815e+04,1.091245706545420944e+03
1.014093868516816110e+04,1.091272765546148094e+03
1.014093870401495224e+04,1.091299822650138367e+03
1.014093872286174519e+04,1.091326877862494030e+03
1.014093874170853633e+04,1.091353931177871345e+03
1.014093876055532928e+04,1.091380982601372352e+03
1.014093877940212042e+04,1.091408032127655588e+03
1.014093879824891337e+04,1.091435079761820589e+03
1.014093881709570451e+04,1.091462125498526575e+03
1.014093883594249746e+04,1.091489169342874220e+03
1.014093885478928860e+04,1.091516211289522062e+03
1.014093887363608155e+04,1.091543251343570319e+03
1.014093889248287269e+04,1.091570289499678665e+03
1.014093891132966564e+04,1.091597325762945729e+03
1.014093893017645678e+04,1.091624360128033004e+03
1.014093894902324973e+04,1.091651392600037980e+03
1.014093896787004269e+04,1.091678423176230808e+03
1.014093898671683382e+04,1.091705451853883005e+03
1.014093900556362678e+04,1.091732478638091607e+03
1.014093902441041791e+04,1.091759503523519470e+03
1.014093904325721087e+04,1.091786526515262722e+03
1.014093906210400201e+04,1.091813547607985129e+03
1.014093908095079496e+04,1.091840566806781226e+03
1.014093909979758610e+04,1.091867584106316826e+03
1.014093911864437905e+04,1.091894599511685328e+03
1.014093913749117019e+04,1.091921613017553454e+03
1.014093915633796314e+04,1.091948624629014148e+03
1.014093917518475428e+04,1.091975634340732995e+03
1.014093919403154723e+04,1.092002642157804758e+03
1.014093921287833837e+04,1.092029648074894794e+03
1.014093923172513132e+04,1.092056652097096276e+03
1.014093925057192246e+04,1.092083654219076607e+03
1.014093926941871541e+04,1.092110654445927366e+03
1.014093928826550655e+04,1.092137652772317324e+03
1.014093930711229950e+04,1.092164649203337376e+03
1.014093932595909064e+04,1.092191643733656292e+03
1.014093934480588359e+04,1.092218636368365196e+03
1.014093936365267473e+04,1.092245627102133312e+03
1.014093938249946768e+04,1.092272615940050628e+03
1.014093940134626064e+04,1.092299602879392069e+03
1.014093942019305177e+04,1.092326587917433244e+03
1.014093943903984473e+04,1.092353571059262777e+03
1.014093945788663586e+04,1.092380552299552619e+03
1.014093947673342882e+04,1.092407531643390485e+03
1.014093949558021995e+04,1.092434509085448781e+03
1.014093951442701291e+04,1.092461484630814994e+03
1.014093953327380405e+04,1.092488458274162440e+03
1.014093955212059700e+04,1.092515430020577242e+03
1.014093957096738814e+04,1.092542399864733625e+03
1.014093958981418109e+04,1.092569367811717711e+03
1.014093960866097223e+04,1.092596333856203273e+03
1.014093962750776518e+04,1.092623298003276432e+03
1.014093964635455632e+04,1.092650260247612096e+03
1.014093966520134927e+04,1.092677220594295477e+03
1.014093968404814041e+04,1.092704179038001712e+03
1.014093970289493336e+04,1.092731135583815330e+03
1.014093972174172450e+04,1.092758090226412378e+03
1.014093974058851745e+04,1.092785042970876930e+03
1.014093975943530859e+04,1.092811993811886396e+03
1.014093977828210154e+04,1.092838942754523487e+03
1.014093979712889450e+04,1.092865889796066085e+03
1.014093981597568563e+04,1.092892834933795484e+03
1.014093983482247859e+04,1.092919778172791666e+03
1.014093985366926972e+04,1.092946719507735224e+03
1.014093987251606268e+04,1.092973658943705914e+03
1.014093989136285381e+04,1.093000596475384555e+03
1.014093991020964677e+04,1.093027532107851357e+03
1.014093992905643790e+04,1.093054465835786914e+03
1.014093994790323086e+04,1.093081397664270526e+03
1.014093996675002199e+04,1.093108327587984377e+03
1.014093998559681495e+04,1.093135255612006404e+03
1.014094000444360609e+04,1.093162181731019473e+03
1.014094002329039904e+04,1.093189105950101521e+03
1.014094004213719018e+04,1.093216028263935414e+03
1.014094006098398313e+04,1.093242948677599315e+03
1.014094007983077427e+04,1.093269867185776093e+03
1.014094009867756722e+04,1.093296783793542772e+03
1.014094011752435836e+04,1.093323698495584267e+03
1.014094013637115131e+04,1.093350611296976012e+03
1.014094015521794245e+04,1.093377522192403831e+03
1.014094017406473540e+04,1.093404431186942929e+03
1.014094019291152654e+04,1.093431338275278449e+03
1.014094021175831949e+04,1.093458243462486735e+03
1.014094023060511245e+04,1.093485146745849306e+03
1.014094024945190358e+04,1.093512048122651777e+03
1.014094026829869654e+04,1.093538947597966626e+03
1.014094028714548767e+04,1.093565845166482859e+03
1.014094030599228063e+04,1.093592740833272273e+03
1.014094032483907176e+04,1.093619634593024557e+03
1.014094034368586472e+04,1.093646526450810597e+03
1.014094036253265585e+04,1.093673416401321447e+03
1.014094038137944881e+04,1.093700304449627311e+03
1.014094040022623994e+04,1.093727190590418559e+03
1.014094041907303290e+04,1.093754074828766306e+03
1.014094043791982403e+04,1.093780957159360923e+03
1.014094045676661699e+04,1.093807837587273298e+03
1.014094047561340813e+04,1.093834716107194481e+03
1.014094049446020108e+04,1.093861592724194225e+03
1.014094051330699222e+04,1.093888467432965399e+03
1.014094053215378517e+04,1.093915340238575027e+03
1.014094055100057631e+04,1.093942211135717571e+03
1.014094056984736926e+04,1.093969080129460508e+03
1.014094058869416040e+04,1.093995947214498756e+03
1.014094060754095335e+04,1.094022812395898427e+03
1.014094062638774631e+04,1.094049675670947408e+03
1.014094064523453744e+04,1.094076537036933587e+03
1.014094066408133040e+04,1.094103396498923757e+03
1.014094068292812153e+04,1.094130254051613520e+03
1.014094070177491449e+04,1.094157109700068077e+03
1.014094072062170562e+04,1.094183963438984620e+03
1.014094073946849858e+04,1.094210815273427215e+03
1.014094075831528971e+04,1.094237665198093964e+03
1.014094077716208267e+04,1.094264513218048478e+03
1.014094079600887380e+04,1.094291359327989085e+03
1.014094081485566676e+04,1.094318203532978259e+03
1.014094083370245789e+04,1.094345045827716831e+03
1.014094085254925085e+04,1.094371886217265228e+03
1.014094087139604198e+04,1.094398724696324734e+03
1.014094089024283494e+04,1.094425561269956233e+03
1.014094090908962608e+04,1.094452395932861009e+03
1.014094092793641903e+04,1.094479228690099490e+03
1.014094094678321017e+04,1.094506059536373414e+03
1.014094096563000312e+04,1.094532888476742983e+03
1.014094098447679426e+04,1.094559715505910617e+03
1.014094100332358721e+04,1.094586540628935609e+03
1.014094102217037835e+04,1.094613363840520606e+03
1.014094104101717130e+04,1.094640185145724899e+03
1.014094105986396426e+04,1.094667004541840470e+03
1.014094107871075539e+04,1.094693822026160205e+03
1.014094109755754835e+04,1.094720637603742261e+03
1.014094111640433948e+04,1.094747451269290650e+03
1.014094113525113244e+04,1.094774263027863299e+03
1.014094115409792357e+04,1.094801072874165357e+03
1.014094117294471653e+04,1.094827880813252932e+03
1.014094119179150766e+04,1.094854686839832993e+03
1.014094121063830062e+04,1.094881490958960740e+03
1.014094122948509175e+04,1.094908293165343821e+03
1.014094124833188471e+04,1.094935093464036527e+03
1.014094126717867584e+04,1.094961891849747417e+03
1.014094128602546880e+04,1.094988688327529871e+03
1.014094130487225993e+04,1.095015482892093814e+03
1.014094132371905289e+04,1.095042275548491716e+03
1.014094134256584402e+04,1.095069066291433046e+03
1.014094136141263698e+04,1.095095855125970729e+03
1.014094138025942812e+04,1.095122642046815599e+03
1.014094139910622107e+04,1.095149427059018990e+03
1.014094141795301221e+04,1.095176210157292189e+03
1.014094143679980516e+04,1.095202991346686304e+03
1.014094145564659811e+04,1.095229770624497860e+03
1.014094147449338925e+04,1.095256547988023840e+03
1.014094149334018221e+04,1.095283323442314895e+03
1.014094151218697334e+04,1.095310096982083223e+03
1.014094153103376630e+04,1.095336868612378566e+03
1.014094154988055743e+04,1.095363638327914714e+03
1.014094156872735039e+04,1.095390406133740953e+03
1.014094158757414152e+04,1.095417172024570846e+03
1.014094160642093448e+04,1.095443936005453224e+03
1.014094162526772561e+04,1.095470698071102788e+03
1.014094164411451857e+04,1.095497458226567460e+03
1.014094166296130970e+04,1.095524216466563075e+03
1.014094168180810266e+04,1.095550972796135511e+03
1.014094170065489379e+04,1.095577727210002877e+03
1.014094171950168675e+04,1.095604479713210367e+03
1.014094173834847788e+04,1.095631230300475409e+03
1.014094175719527084e+04,1.095657978976843651e+03
1.014094177604206197e+04,1.095684725737033204e+03
1.014094179488885493e+04,1.095711470586088808e+03
1.014094181373564606e+04,1.095738213518728571e+03
1.014094183258243902e+04,1.095764954539997461e+03
1.014094185142923016e+04,1.095791693644615179e+03
1.014094187027602311e+04,1.095818430837624192e+03
1.014094188912281606e+04,1.095845166116325800e+03
1.014094190796960720e+04,1.095871899478021078e+03
1.014094192681640016e+04,1.095898630927753402e+03
1.014094194566319129e+04,1.095925360460242928e+03
1.014094196450998425e+04,1.095952088080531666e+03
1.014094198335677538e+04,1.095978813783342275e+03
1.014094200220356834e+04,1.096005537573715401e+03
1.014094202105035947e+04,1.096032259446373928e+03
1.014094203989715243e+04,1.096058979406357821e+03
1.014094205874394356e+04,1.096085697448391329e+03
1.014094207759073652e+04,1.096112413577513507e+03
1.014094209643752765e+04,1.096139127788449059e+03
1.014094211528432061e+04,1.096165840086236358e+03
1.014094213413111174e+04,1.096192550465601698e+03
1.014094215297790470e+04,1.096219258931582090e+03
1.014094217182469583e+04,1.096245965478904054e+03
1.014094219067148879e+04,1.096272670112604828e+03
1.014094220951827992e+04,1.096299372827411162e+03
1.014094222836507288e+04,1.096326073628359609e+03
1.014094224721186401e+04,1.096352772510178283e+03
1.014094226605865697e+04,1.096379469477901921e+03
1.014094228490544992e+04,1.096406164528836598e+03
1.014094230375224106e+04,1.096432857660287482e+03
1.014094232259903401e+04,1.096459548877288853e+03
1.014094234144582515e+04,1.096486238174571781e+03
1.014094236029261810e+04,1.096512925557168501e+03
1.014094237913940924e+04,1.096539611019809854e+03
1.014094239798620220e+04,1.096566294567530122e+03
1.014094241683299333e+04,1.096592976195059464e+03
1.014094243567978629e+04,1.096619655907430342e+03
1.014094245452657742e+04,1.096646333699375873e+03
1.014094247337337038e+04,1.096673009575926471e+03
1.014094249222016151e+04,1.096699683531815708e+03
1.014094251106695447e+04,1.096726355572074226e+03
1.014094252991374560e+04,1.096753025691435823e+03
1.014094254876053856e+04,1.096779693894930688e+03
1.014094256760732969e+04,1.096806360177293300e+03
1.014094258645412265e+04,1.096833024543552710e+03
1.014094260530091378e+04,1.096859686988444992e+03
1.014094262414770674e+04,1.096886347516997830e+03
1.014094264299449787e+04,1.096913006123948435e+03
1.014094266184129083e+04,1.096939662814323583e+03
1.014094268068808196e+04,1.096966317582860938e+03
1.014094269953487492e+04,1.096992970434587733e+03
1.014094271838166787e+04,1.097019621366812771e+03
1.014094273722845901e+04,1.097046270376847360e+03
1.014094275607525196e+04,1.097072917469717368e+03
1.014094277492204310e+04,1.097099562640161366e+03
1.014094279376883605e+04,1.097126205893205224e+03
1.014094281261562719e+04,1.097152847223587969e+03
1.014094283146242014e+04,1.097179486636334332e+03
1.014094285030921128e+04,1.097206124126185159e+03
1.014094286915600424e+04,1.097232759698164045e+03
1.014094288800279537e+04,1.097259393347012065e+03
1.014094290684958833e+04,1.097286025077752811e+03
1.014094292569637946e+04,1.097312654885127586e+03
1.014094294454317242e+04,1.097339282774159528e+03
1.014094296338996355e+04,1.097365908739590623e+03
1.014094298223675651e+04,1.097392532786443553e+03
1.014094300108354764e+04,1.097419154909460985e+03
1.014094301993034060e+04,1.097445775113664467e+03
1.014094303877713173e+04,1.097472393393798029e+03
1.014094305762392469e+04,1.097499009754881627e+03
1.014094307647071582e+04,1.097525624191660654e+03
1.014094309531750878e+04,1.097552236709155295e+03
1.014094311416430173e+04,1.097578847304678447e+03
1.014094313301109287e+04,1.097605455975545055e+03
1.014094315185788582e+04,1.097632062726773938e+03
1.014094317070467696e+04,1.097658667553111854e+03
1.014094318955146991e+04,1.097685270459576259e+03
1.014094320839826105e+04,1.097711871440915502e+03
1.014094322724505400e+04,1.097738470502145674e+03
1.014094324609184514e+04,1.097765067638016490e+03
1.014094326493863809e+04,1.097791662853543585e+03
1.014094328378542923e+04,1.097818256143476447e+03
1.014094330263222218e+04,1.097844847512830711e+03
1.014094332147901332e+04,1.097871436956356320e+03
1.014094334032580628e+04,1.097898024479068226e+03
1.014094335917259741e+04,1.097924610075717510e+03
1.014094337801939037e+04,1.097951193751317305e+03
1.014094339686618150e+04,1.097977775500620510e+03
1.014094341571297446e+04,1.098004355328640486e+03
1.014094343455976559e+04,1.098030933230128994e+03
1.014094345340655855e+04,1.098057509210098260e+03
1.014094347225334968e+04,1.098084083263302773e+03
1.014094349110014264e+04,1.098110655394753849e+03
1.014094350994693377e+04,1.098137225599205294e+03
1.014094352879372673e+04,1.098163793881668880e+03
1.014094354764051968e+04,1.098190360239462507e+03
1.014094356648731082e+04,1.098216924669905893e+03
1.014094358533410377e+04,1.098243487178009218e+03
1.014094360418089491e+04,1.098270047758527880e+03
1.014094362302768786e+04,1.098296606416471832e+03
