Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.908226643518544734e+03,9.233452490208840118e+02
9.908226666740774817e+03,9.233686896285187231e+02
9.908226689963004901e+03,9.233921283771041999e+02
9.908226713185233166e+03,9.234155652645961254e+02
9.908226736407463250e+03,9.234390002944576281e+02
9.908226759629693333e+03,9.234624334646450734e+02
9.908226782851923417e+03,9.234858647749498459e+02
9.908226806074151682e+03,9.235092942233286522e+02
9.908226829296381766e+03,9.235327218132439384e+02
9.908226852518611850e+03,9.235561475426520701e+02
9.908226875740841933e+03,9.235795714113446593e+02
9.908226898963070198e+03,9.236029934172796629e+02
9.908226922185300282e+03,9.236264135639175947e+02
9.908226945407530366e+03,9.236498318492158432e+02
9.908226968629760449e+03,9.236732482729664753e+02
9.908226991851988714e+03,9.236966628331277889e+02
9.908227015074218798e+03,9.237200755331590472e+02
9.908227038296448882e+03,9.237434863710187756e+02
9.908227061518678966e+03,9.237668953464985862e+02
9.908227084740907230e+03,9.237903024575574591e+02
9.908227107963137314e+03,9.238137077076543164e+02
9.908227131185367398e+03,9.238371110947475700e+02
9.908227154407597482e+03,9.238605126186294001e+02
9.908227177629825746e+03,9.238839122772591281e+02
9.908227200852055830e+03,9.239073100740945392e+02
9.908227224074285914e+03,9.239307060070949547e+02
9.908227247296515998e+03,9.239541000760527822e+02
9.908227270518744263e+03,9.239774922789274569e+02
9.908227293740974346e+03,9.240008826191764228e+02
9.908227316963204430e+03,9.240242710947592286e+02
9.908227340185434514e+03,9.240476577054678273e+02
9.908227363407662779e+03,9.240710424492632455e+02
9.908227386629892862e+03,9.240944253296014494e+02
9.908227409852122946e+03,9.241178063444424424e+02
9.908227433074353030e+03,9.241411854935793144e+02
9.908227456296581295e+03,9.241645627749722962e+02
9.908227479518811379e+03,9.241879381920771266e+02
9.908227502741041462e+03,9.242113117428542637e+02
9.908227525963271546e+03,9.242346834270965701e+02
9.908227549185499811e+03,9.242580532427658682e+02
9.908227572407729895e+03,9.242814211933157367e+02
9.908227595629959978e+03,9.243047872767082254e+02
9.908227618852190062e+03,9.243281514927356284e+02
9.908227642074418327e+03,9.243515138393604502e+02
9.908227665296648411e+03,9.243748743200357012e+02
