Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.014093855324061587e+04,1.022143464040982394e+03
1.014093857208740883e+04,1.022168681123380225e+03
1.014093859093419996e+04,1.022193896556298455e+03
1.014093860978099292e+04,1.022219110344493629e+03
1.014093862862778406e+04,1.022244322482988309e+03
1.014093864747457701e+04,1.022269532976539040e+03
1.014093866632136815e+04,1.022294741820169179e+03
1.014093868516816110e+04,1.022319949018634020e+03
1.014093870401495224e+04,1.022345154566958172e+03
1.014093872286174519e+04,1.022370358469896473e+03
1.014093874170853633e+04,1.022395560722473533e+03
1.014093876055532928e+04,1.022420761329443962e+03
1.014093877940212042e+04,1.022445960285833053e+03
1.014093879824891337e+04,1.022471157596394278e+03
1.014093881709570451e+04,1.022496353256154180e+03
1.014093883594249746e+04,1.022521547269865778e+03
1.014093885478928860e+04,1.022546739632555273e+03
1.014093887363608155e+04,1.022571930348976139e+03
1.014093889248287269e+04,1.022597119414155259e+03
1.014093891132966564e+04,1.022622306832844401e+03
1.014093893017645678e+04,1.022647492600071814e+03
1.014093894902324973e+04,1.022672676720588811e+03
1.014093896787004269e+04,1.022697859191854491e+03
1.014093898671683382e+04,1.022723040011328294e+03
1.014093900556362678e+04,1.022748219183760966e+03
1.014093902441041791e+04,1.022773396704181891e+03
1.014093904325721087e+04,1.022798572577341247e+03
1.014093906210400201e+04,1.022823746798268871e+03
1.014093908095079496e+04,1.022848919371714373e+03
1.014093909979758610e+04,1.022874090292708502e+03
1.014093911864437905e+04,1.022899259565999728e+03
1.014093913749117019e+04,1.022924427186620051e+03
1.014093915633796314e+04,1.022949593159317260e+03
1.014093917518475428e+04,1.022974757479123582e+03
1.014093919403154723e+04,1.022999920150786579e+03
1.014093921287833837e+04,1.023025081169338932e+03
1.014093923172513132e+04,1.023050240539527408e+03
1.014093925057192246e+04,1.023075398256385824e+03
1.014093926941871541e+04,1.023100554324660493e+03
1.014093928826550655e+04,1.023125708739385232e+03
1.014093930711229950e+04,1.023150861505305556e+03
1.014093932595909064e+04,1.023176012617456877e+03
1.014093934480588359e+04,1.023201162080583572e+03
1.014093936365267473e+04,1.023226309889721620e+03
1.014093938249946768e+04,1.023251456049615172e+03
1.014093940134626064e+04,1.023276600557726852e+03
1.014093942019305177e+04,1.023301743411521102e+03
1.014093943903984473e+04,1.023326884615740255e+03
1.014093945788663586e+04,1.023352024165422563e+03
1.014093947673342882e+04,1.023377162065309903e+03
1.014093949558021995e+04,1.023402298310440642e+03
1.014093951442701291e+04,1.023427432905556657e+03
1.014093953327380405e+04,1.023452565845696881e+03
1.014093955212059700e+04,1.023477697135602625e+03
1.014093957096738814e+04,1.023502826770312936e+03
1.014093958981418109e+04,1.023527954754569123e+03
1.014093960866097223e+04,1.023553081083410689e+03
1.014093962750776518e+04,1.023578205761578033e+03
1.014093964635455632e+04,1.023603328784111795e+03
1.014093966520134927e+04,1.023628450155751466e+03
1.014093968404814041e+04,1.023653569871538821e+03
1.014093970289493336e+04,1.023678687936212214e+03
1.014093972174172450e+04,1.023703804344813648e+03
1.014093974058851745e+04,1.023728919102082045e+03
1.014093975943530859e+04,1.023754032203059410e+03
1.014093977828210154e+04,1.023779143652483754e+03
1.014093979712889450e+04,1.023804253447821679e+03
1.014093981597568563e+04,1.023829361586540244e+03
1.014093983482247859e+04,1.023854468073376552e+03
1.014093985366926972e+04,1.023879572903374310e+03
1.014093987251606268e+04,1.023904676081270395e+03
1.014093989136285381e+04,1.023929777602109425e+03
1.014093991020964677e+04,1.023954877470626911e+03
1.014093992905643790e+04,1.023979975681868723e+03
1.014093994790323086e+04,1.024005072240569461e+03
1.014093996675002199e+04,1.024030167141775564e+03
1.014093998559681495e+04,1.024055260390221520e+03
1.014094000444360609e+04,1.024080351980953992e+03
1.014094002329039904e+04,1.024105441918706902e+03
1.014094004213719018e+04,1.024130530198527367e+03
1.014094006098398313e+04,1.024155616825149536e+03
1.014094007983077427e+04,1.024180701793620528e+03
1.014094009867756722e+04,1.024205785108673581e+03
1.014094011752435836e+04,1.024230866765357405e+03
1.014094013637115131e+04,1.024255946768403646e+03
1.014094015521794245e+04,1.024281025112861926e+03
1.014094017406473540e+04,1.024306101803464117e+03
1.014094019291152654e+04,1.024331176835259612e+03
1.014094021175831949e+04,1.024356250212979376e+03
1.014094023060511245e+04,1.024381321934094103e+03
1.014094024945190358e+04,1.024406391996074717e+03
1.014094026829869654e+04,1.024431460403651045e+03
1.014094028714548767e+04,1.024456527151874980e+03
1.014094030599228063e+04,1.024481592245475667e+03
1.014094032483907176e+04,1.024506655679505684e+03
1.014094034368586472e+04,1.024531717458693265e+03
1.014094036253265585e+04,1.024556777578092124e+03
1.014094038137944881e+04,1.024581836042429359e+03
1.014094040022623994e+04,1.024606892846759365e+03
1.014094041907303290e+04,1.024631947995809696e+03
1.014094043791982403e+04,1.024657001484634293e+03
1.014094045676661699e+04,1.024682053317960026e+03
1.014094047561340813e+04,1.024707103490841973e+03
1.014094049446020108e+04,1.024732152008006324e+03
1.014094051330699222e+04,1.024757198864508837e+03
1.014094053215378517e+04,1.024782244065075020e+03
1.014094055100057631e+04,1.024807287604761541e+03
1.014094056984736926e+04,1.024832329488292771e+03
1.014094058869416040e+04,1.024857369710726061e+03
1.014094060754095335e+04,1.024882408276786009e+03
1.014094062638774631e+04,1.024907445183945811e+03
1.014094064523453744e+04,1.024932480429680936e+03
1.014094066408133040e+04,1.024957514018714619e+03
1.014094068292812153e+04,1.024982545946105574e+03
1.014094070177491449e+04,1.025007576216576354e+03
1.014094072062170562e+04,1.025032604825186354e+03
1.014094073946849858e+04,1.025057631776657672e+03
1.014094075831528971e+04,1.025082657066050842e+03
1.014094077716208267e+04,1.025107680698087051e+03
1.014094079600887380e+04,1.025132702667826607e+03
1.014094081485566676e+04,1.025157722979990922e+03
1.014094083370245789e+04,1.025182741629641214e+03
1.014094085254925085e+04,1.025207758621497760e+03
1.014094087139604198e+04,1.025232773950622686e+03
1.014094089024283494e+04,1.025257787621735588e+03
1.014094090908962608e+04,1.025282799629899046e+03
1.014094092793641903e+04,1.025307809979832655e+03
1.014094094678321017e+04,1.025332818666598541e+03
1.014094096563000312e+04,1.025357825694916528e+03
1.014094098447679426e+04,1.025382831059849650e+03
1.014094100332358721e+04,1.025407834766116366e+03
1.014094102217037835e+04,1.025432836808780849e+03
1.014094104101717130e+04,1.025457837192560874e+03
1.014094105986396426e+04,1.025482835914933958e+03
1.014094107871075539e+04,1.025507832973378754e+03
1.014094109755754835e+04,1.025532828372611903e+03
1.014094111640433948e+04,1.025557822107699394e+03
1.014094113525113244e+04,1.025582814183356732e+03
1.014094115409792357e+04,1.025607804594651725e+03
1.014094117294471653e+04,1.025632793346298513e+03
1.014094119179150766e+04,1.025657780433364906e+03
1.014094121063830062e+04,1.025682765860565951e+03
1.014094122948509175e+04,1.025707749622969459e+03
1.014094124833188471e+04,1.025732731725289113e+03
1.014094126717867584e+04,1.025757712162594316e+03
1.014094128602546880e+04,1.025782690939597842e+03
1.014094130487225993e+04,1.025807668051369774e+03
1.014094132371905289e+04,1.025832643502622432e+03
1.014094134256584402e+04,1.025857617288426582e+03
1.014094136141263698e+04,1.025882589413493179e+03
1.014094138025942812e+04,1.025907559872893671e+03
1.014094139910622107e+04,1.025932528671340151e+03
1.014094141795301221e+04,1.025957495803903157e+03
1.014094143679980516e+04,1.025982461275293645e+03
1.014094145564659811e+04,1.026007425082993905e+03
1.014094147449338925e+04,1.026032387224485547e+03
1.014094149334018221e+04,1.026057347704478616e+03
1.014094151218697334e+04,1.026082306518045925e+03
1.014094153103376630e+04,1.026107263669897520e+03
1.014094154988055743e+04,1.026132219155106441e+03
1.014094156872735039e+04,1.026157172978382050e+03
1.014094158757414152e+04,1.026182125134798298e+03
1.014094160642093448e+04,1.026207075629063411e+03
1.014094162526772561e+04,1.026232024456252702e+03
1.014094164411451857e+04,1.026256971621073490e+03
1.014094166296130970e+04,1.026281917118601996e+03
1.014094168180810266e+04,1.026306860953544401e+03
1.014094170065489379e+04,1.026331803120977384e+03
1.014094171950168675e+04,1.026356743625607578e+03
1.014094173834847788e+04,1.026381682462511662e+03
1.014094175719527084e+04,1.026406619636395362e+03
1.014094177604206197e+04,1.026431555142336720e+03
1.014094179488885493e+04,1.026456488985040551e+03
1.014094181373564606e+04,1.026481421159584897e+03
1.014094183258243902e+04,1.026506351670674576e+03
1.014094185142923016e+04,1.026531280513388765e+03
1.014094187027602311e+04,1.026556207692431144e+03
1.014094188912281606e+04,1.026581133205286960e+03
1.014094190796960720e+04,1.026606057049442825e+03
1.014094192681640016e+04,1.026630979229601508e+03
1.014094194566319129e+04,1.026655899740843097e+03
1.014094196450998425e+04,1.026680818587870363e+03
1.014094198335677538e+04,1.026705735765764757e+03
1.014094200220356834e+04,1.026730651279227459e+03
1.014094202105035947e+04,1.026755565123341057e+03
1.014094203989715243e+04,1.026780477302806503e+03
1.014094205874394356e+04,1.026805387812706385e+03
1.014094207759073652e+04,1.026830296657740973e+03
1.014094209643752765e+04,1.026855203832993993e+03
1.014094211528432061e+04,1.026880109343164804e+03
1.014094213413111174e+04,1.026905013183338042e+03
1.014094215297790470e+04,1.026929915358211929e+03
1.014094217182469583e+04,1.026954815862872238e+03
1.014094219067148879e+04,1.026979714702017191e+03
1.014094220951827992e+04,1.027004611870731878e+03
1.014094222836507288e+04,1.027029507373714523e+03
1.014094224721186401e+04,1.027054401206051125e+03
1.014094226605865697e+04,1.027079293372438542e+03
1.014094228490544992e+04,1.027104183870366342e+03
1.014094230375224106e+04,1.027129072697324091e+03
1.014094232259903401e+04,1.027153959858008420e+03
1.014094234144582515e+04,1.027178845347506694e+03
1.014094236029261810e+04,1.027203729170514862e+03
1.014094237913940924e+04,1.027228611322121196e+03
1.014094239798620220e+04,1.027253491807020737e+03
1.014094241683299333e+04,1.027278370620302667e+03
1.014094243567978629e+04,1.027303247766661570e+03
1.014094245452657742e+04,1.027328123241187086e+03
1.014094247337337038e+04,1.027352997048572888e+03
1.014094249222016151e+04,1.027377869183909525e+03
1.014094251106695447e+04,1.027402739651890897e+03
1.014094252991374560e+04,1.027427608447607099e+03
1.014094254876053856e+04,1.027452475575751350e+03
1.014094256760732969e+04,1.027477341031414880e+03
1.014094258645412265e+04,1.027502204819290000e+03
1.014094260530091378e+04,1.027527066934469531e+03
1.014094262414770674e+04,1.027551927381644191e+03
1.014094264299449787e+04,1.027576786155907257e+03
1.014094266184129083e+04,1.027601643261949675e+03
1.014094268068808196e+04,1.027626498694865404e+03
1.014094269953487492e+04,1.027651352459343570e+03
1.014094271838166787e+04,1.027676204552878289e+03
1.014094273722845901e+04,1.027701054972962993e+03
1.014094275607525196e+04,1.027725903724286354e+03
1.014094277492204310e+04,1.027750750801944605e+03
1.014094279376883605e+04,1.027775596210625281e+03
1.014094281261562719e+04,1.027800439945425524e+03
1.014094283146242014e+04,1.027825282011032868e+03
1.014094285030921128e+04,1.027850122402543775e+03
1.014094286915600424e+04,1.027874961124646234e+03
1.014094288800279537e+04,1.027899798172437158e+03
1.014094290684958833e+04,1.027924633550602948e+03
1.014094292569637946e+04,1.027949467254242791e+03
1.014094294454317242e+04,1.027974299288041721e+03
1.014094296338996355e+04,1.027999129647098925e+03
1.014094298223675651e+04,1.028023958336099895e+03
1.014094300108354764e+04,1.028048785350144044e+03
1.014094301993034060e+04,1.028073610693916407e+03
1.014094303877713173e+04,1.028098434362516400e+03
1.014094305762392469e+04,1.028123256360628829e+03
1.014094307647071582e+04,1.028148076683354702e+03
1.014094309531750878e+04,1.028172895335377007e+03
1.014094311416430173e+04,1.028197712314192586e+03
1.014094313301109287e+04,1.028222527617298965e+03
1.014094315185788582e+04,1.028247341249378223e+03
1.014094317070467696e+04,1.028272153205533868e+03
1.014094318955146991e+04,1.028296963490446842e+03
1.014094320839826105e+04,1.028321772099221107e+03
1.014094322724505400e+04,1.028346579036537378e+03
1.014094324609184514e+04,1.028371384297500072e+03
1.014094326493863809e+04,1.028396187886789221e+03
1.014094328378542923e+04,1.028420989799509925e+03
1.014094330263222218e+04,1.028445790040341990e+03
1.014094332147901332e+04,1.028470588604391196e+03
1.014094334032580628e+04,1.028495385496335984e+03
1.014094335917259741e+04,1.028520180711283047e+03
1.014094337801939037e+04,1.028544974253910823e+03
1.014094339686618150e+04,1.028569766119326005e+03
1.014094341571297446e+04,1.028594556312207033e+03
1.014094343455976559e+04,1.028619344827660598e+03
1.014094345340655855e+04,1.028644131670364459e+03
1.014094347225334968e+04,1.028668916835426899e+03
1.014094349110014264e+04,1.028693700327524084e+03
1.014094350994693377e+04,1.028718482141765435e+03
1.014094352879372673e+04,1.028743262282826890e+03
1.014094354764051968e+04,1.028768040748209160e+03
1.014094356648731082e+04,1.028792817535413633e+03
1.014094358533410377e+04,1.028817592649115568e+03
1.014094360418089491e+04,1.028842366084425521e+03
1.014094362302768786e+04,1.028867137846017840e+03
1.014094364187447900e+04,1.028891907929003310e+03
1.014094366072127195e+04,1.028916676338056504e+03
1.014094367956806309e+04,1.028941443068289345e+03
1.014094369841485604e+04,1.028966208124374361e+03
1.014094371726164718e+04,1.028990971501424610e+03
1.014094373610844013e+04,1.029015733204112848e+03
1.014094375495523127e+04,1.029040493227551906e+03
1.014094377380202423e+04,1.029065251576413630e+03
1.014094379264881536e+04,1.029090008245811987e+03
1.014094381149560832e+04,1.029114763240419052e+03
1.014094383034239945e+04,1.029139516555348564e+03
1.014094384918919241e+04,1.029164268195271234e+03
1.014094386803598354e+04,1.029189018155302620e+03
1.014094388688277650e+04,1.029213766440112749e+03
1.014094390572956763e+04,1.029238513044817637e+03
1.014094392457636059e+04,1.029263257974086400e+03
1.014094394342315354e+04,1.029288001225424068e+03
1.014094396226994468e+04,1.029312742796335215e+03
1.014094398111673763e+04,1.029337482691488958e+03
1.014094399996352877e+04,1.029362220906001994e+03
1.014094401881032172e+04,1.029386957444543214e+03
1.014094403765711286e+04,1.029411692302230222e+03
1.014094405650390581e+04,1.029436425483730545e+03
1.014094407535069695e+04,1.029461156984163154e+03
1.014094409419748990e+04,1.029485886808194664e+03
1.014094411304428104e+04,1.029510614950944273e+03
1.014094413189107399e+04,1.029535341417078826e+03
1.014094415073786513e+04,1.029560066201717973e+03
1.014094416958465808e+04,1.029584789309526968e+03
1.014094418843144922e+04,1.029609510735627282e+03
1.014094420727824217e+04,1.029634230484683485e+03
1.014094422612503331e+04,1.029658948551817275e+03
1.014094424497182627e+04,1.029683664941692541e+03
1.014094426381861740e+04,1.029708379649431663e+03
1.014094428266541036e+04,1.029733092679698530e+03
1.014094430151220149e+04,1.029757804027615521e+03
1.014094432035899445e+04,1.029782513697845843e+03
1.014094433920578558e+04,1.029807221685513014e+03
1.014094435805257854e+04,1.029831927995279557e+03
1.014094437689937149e+04,1.029856632624653685e+03
1.014094439574616263e+04,1.029881335571144746e+03
1.014094441459295558e+04,1.029906036839413900e+03
1.014094443343974672e+04,1.029930736424586257e+03
1.014094445228653967e+04,1.029955434331322977e+03
1.014094447113333081e+04,1.029980130554749394e+03
1.014094448998012376e+04,1.030004825099526670e+03
1.014094450882691490e+04,1.030029517960780368e+03
1.014094452767370785e+04,1.030054209143170738e+03
1.014094454652049899e+04,1.030078898641824480e+03
1.014094456536729194e+04,1.030103586461400710e+03
1.014094458421408308e+04,1.030128272597027717e+03
1.014094460306087603e+04,1.030152957053363025e+03
1.014094462190766717e+04,1.030177639825535607e+03
1.014094464075446012e+04,1.030202320918203441e+03
1.014094465960125126e+04,1.030227000326495272e+03
1.014094467844804421e+04,1.030251678055068851e+03
1.014094469729483535e+04,1.030276354099052924e+03
1.014094471614162831e+04,1.030301028463104785e+03
1.014094473498841944e+04,1.030325701142355001e+03
1.014094475383521240e+04,1.030350372141459047e+03
1.014094477268200535e+04,1.030375041457929228e+03
1.014094479152879649e+04,1.030399709089278304e+03
1.014094481037558944e+04,1.030424375040160839e+03
1.014094482922238058e+04,1.030449039305709221e+03
1.014094484806917353e+04,1.030473701890578013e+03
1.014094486691596467e+04,1.030498362789899602e+03
1.014094488576275762e+04,1.030523022008328098e+03
1.014094490460954876e+04,1.030547679540996569e+03
1.014094492345634171e+04,1.030572335392558671e+03
1.014094494230313285e+04,1.030596989558147925e+03
1.014094496114992580e+04,1.030621642042417307e+03
1.014094497999671694e+04,1.030646292840501928e+03
1.014094499884350989e+04,1.030670941957052719e+03
1.014094501769030103e+04,1.030695589387205928e+03
1.014094503653709398e+04,1.030720235135612256e+03
1.014094505538388512e+04,1.030744879197408181e+03
1.014094507423067807e+04,1.030769521577244404e+03
1.014094509307746921e+04,1.030794162270257630e+03
1.014094511192426216e+04,1.030818801281097649e+03
1.014094513077105330e+04,1.030843438604902303e+03
1.014094514961784625e+04,1.030868074246320703e+03
1.014094516846463739e+04,1.030892708200491143e+03
1.014094518731143035e+04,1.030917340472062733e+03
1.014094520615822330e+04,1.030941971058550507e+03
1.014094522500501444e+04,1.030966599957471999e+03
1.014094524385180739e+04,1.030991227173474726e+03
1.014094526269859853e+04,1.031015852701698577e+03
1.014094528154539148e+04,1.031040476546790615e+03
1.014094530039218262e+04,1.031065098703891408e+03
1.014094531923897557e+04,1.031089719177647567e+03
1.014094533808576671e+04,1.031114337963200114e+03
1.014094535693255966e+04,1.031138955065195205e+03
1.014094537577935080e+04,1.031163570478774545e+03
1.014094539462614375e+04,1.031188184208583380e+03
1.014094541347293489e+04,1.031212796249764779e+03
1.014094543231972784e+04,1.031237406606962395e+03
1.014094545116651898e+04,1.031262015275320664e+03
1.014094547001331193e+04,1.031286622259482328e+03
1.014094548886010307e+04,1.031311227554592733e+03
1.014094550770689602e+04,1.031335831165294167e+03
1.014094552655368716e+04,1.031360433086731746e+03
1.014094554540048011e+04,1.031385033323547759e+03
1.014094556424727125e+04,1.031409631870887779e+03
1.014094558309406420e+04,1.031434228733393866e+03
1.014094560194085716e+04,1.031458823908585828e+03
1.014094562078764829e+04,1.031483417393984155e+03
1.014094563963444125e+04,1.031508009194229317e+03
1.014094565848123239e+04,1.031532599304468931e+03
1.014094567732802534e+04,1.031557187729343241e+03
1.014094569617481648e+04,1.031581774464000091e+03
1.014094571502160943e+04,1.031606359513079269e+03
1.014094573386840057e+04,1.031630942871729076e+03
1.014094575271519352e+04,1.031655524544588843e+03
1.014094577156198466e+04,1.031680104526807781e+03
1.014094579040877761e+04,1.031704682823024086e+03
