Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.063802708333311602e+04,2.561622369892321061e+00
1.063802710516863226e+04,2.561622434974053064e+00
1.063802712700415032e+04,2.561622500045837469e+00
1.063802714883966655e+04,2.561622565107663618e+00
1.063802717067518279e+04,2.561622630159535063e+00
1.063802719251070084e+04,2.561622695201455358e+00
1.063802721434621708e+04,2.561622760233420948e+00
1.063802723618173331e+04,2.561622825255424729e+00
1.063802725801725137e+04,2.561622890267488017e+00
1.063802727985276761e+04,2.561622955269578839e+00
1.063802730168828566e+04,2.561623020261722061e+00
1.063802732352380190e+04,2.561623085243903475e+00
1.063802734535931813e+04,2.561623150216126632e+00
1.063802736719483619e+04,2.561623215178398638e+00
1.063802738903035242e+04,2.561623280130712388e+00
1.063802741086586866e+04,2.561623345073060776e+00
1.063802743270138672e+04,2.561623410005454460e+00
1.063802745453690295e+04,2.561623474927882782e+00
1.063802747637241919e+04,2.561623539840356401e+00
1.063802749820793724e+04,2.561623604742871763e+00
1.063802752004345348e+04,2.561623669635425316e+00
1.063802754187896971e+04,2.561623734518017059e+00
1.063802756371448777e+04,2.561623799390646994e+00
1.063802758555000401e+04,2.561623864253311567e+00
1.063802760738552206e+04,2.561623929106021436e+00
1.063802762922103830e+04,2.561623993948762390e+00
1.063802765105655453e+04,2.561624058781541535e+00
1.063802767289207259e+04,2.561624123604358871e+00
1.063802769472758882e+04,2.561624188417210846e+00
1.063802771656310506e+04,2.561624253220093905e+00
1.063802773839862311e+04,2.561624318013018708e+00
1.063802776023413935e+04,2.561624382795974597e+00
1.063802778206965559e+04,2.561624447568961571e+00
1.063802780390517364e+04,2.561624512331990289e+00
1.063802782574068988e+04,2.561624577085046539e+00
1.063802784757620611e+04,2.561624641828137428e+00
1.063802786941172417e+04,2.561624706561266507e+00
1.063802789124724040e+04,2.561624771284416013e+00
1.063802791308275846e+04,2.561624835997610816e+00
1.063802793491827470e+04,2.561624900700822494e+00
1.063802795675379093e+04,2.561624965394068809e+00
1.063802797858930899e+04,2.561625030077356868e+00
1.063802800042482522e+04,2.561625094750665355e+00
1.063802802226034146e+04,2.561625159414001374e+00
1.063802804409585951e+04,2.561625224067372031e+00
