Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.013184277777792886e+04,2.597582702177646752e+00
1.013184279854968190e+04,2.597582787692431339e+00
1.013184281932143494e+04,2.597582873198344799e+00
1.013184284009318799e+04,2.597582958695387134e+00
1.013184286086494103e+04,2.597583044183551237e+00
1.013184288163669407e+04,2.597583129662847767e+00
1.013184290240844712e+04,2.597583215133269618e+00
1.013184292318020016e+04,2.597583300594816791e+00
1.013184294395195320e+04,2.597583386047492837e+00
1.013184296472370625e+04,2.597583471491290652e+00
1.013184298549545929e+04,2.597583556926217341e+00
1.013184300626721233e+04,2.597583642352262245e+00
1.013184302703896537e+04,2.597583727769439577e+00
1.013184304781071842e+04,2.597583813177731571e+00
1.013184306858247146e+04,2.597583898577148886e+00
1.013184308935422450e+04,2.597583983967687971e+00
1.013184311012597936e+04,2.597584069349359481e+00
1.013184313089773241e+04,2.597584154722138550e+00
1.013184315166948545e+04,2.597584240086042939e+00
1.013184317244123849e+04,2.597584325441065545e+00
1.013184319321299154e+04,2.597584410787209919e+00
1.013184321398474458e+04,2.597584496124468956e+00
1.013184323475649762e+04,2.597584581452849761e+00
1.013184325552825067e+04,2.597584666772348783e+00
1.013184327630000371e+04,2.597584752082962467e+00
1.013184329707175675e+04,2.597584837384694367e+00
1.013184331784350979e+04,2.597584922677544483e+00
1.013184333861526284e+04,2.597585007961509262e+00
1.013184335938701588e+04,2.597585093236588705e+00
1.013184338015876892e+04,2.597585178502782810e+00
1.013184340093052197e+04,2.597585263760091578e+00
1.013184342170227501e+04,2.597585349008515010e+00
1.013184344247402805e+04,2.597585434248049552e+00
1.013184346324578109e+04,2.597585519478698757e+00
1.013184348401753414e+04,2.597585604700459072e+00
1.013184350478928718e+04,2.597585689913330498e+00
1.013184352556104022e+04,2.597585775117313034e+00
1.013184354633279327e+04,2.597585860312410233e+00
1.013184356710454631e+04,2.597585945498614990e+00
1.013184358787629935e+04,2.597586030675930857e+00
1.013184360864805240e+04,2.597586115844350729e+00
1.013184362941980544e+04,2.597586201003881712e+00
1.013184365019155848e+04,2.597586286154523805e+00
1.013184367096331152e+04,2.597586371296269903e+00
1.013184369173506457e+04,2.597586456429123558e+00
1.013184371250681761e+04,2.597586541553084771e+00
1.013184373327857065e+04,2.597586626668149989e+00
1.013184375405032551e+04,2.597586711774329871e+00
1.013184377482207856e+04,2.597586796871610204e+00
1.013184379559383160e+04,2.597586881959990990e+00
1.013184381636558464e+04,2.597586967039475780e+00
1.013184383713733769e+04,2.597587052110064576e+00
1.013184385790909073e+04,2.597587137171757377e+00
1.013184387868084377e+04,2.597587222224550629e+00
1.013184389945259682e+04,2.597587307268447887e+00
1.013184392022434986e+04,2.597587392303445597e+00
1.013184394099610290e+04,2.597587477329540206e+00
1.013184396176785594e+04,2.597587562346738821e+00
1.013184398253960899e+04,2.597587647355034335e+00
1.013184400331136203e+04,2.597587732354437406e+00
1.013184402408311507e+04,2.597587817344930272e+00
1.013184404485486812e+04,2.597587902326523590e+00
1.013184406562662116e+04,2.597587987299217360e+00
1.013184408639837420e+04,2.597588072263008030e+00
1.013184410717012724e+04,2.597588157217892046e+00
1.013184412794188029e+04,2.597588242163872962e+00
1.013184414871363333e+04,2.597588327100950778e+00
1.013184416948538637e+04,2.597588412029121940e+00
1.013184419025713942e+04,2.597588496948390002e+00
1.013184421102889246e+04,2.597588581858751411e+00
1.013184423180064550e+04,2.597588666760206166e+00
1.013184425257239855e+04,2.597588751652750716e+00
1.013184427334415159e+04,2.597588836536392165e+00
1.013184429411590463e+04,2.597588921411123408e+00
1.013184431488765767e+04,2.597589006276951551e+00
1.013184433565941072e+04,2.597589091133862382e+00
1.013184435643116376e+04,2.597589175981870113e+00
1.013184437720291680e+04,2.597589260820960533e+00
1.013184439797466985e+04,2.597589345651147852e+00
1.013184441874642471e+04,2.597589430472424965e+00
1.013184443951817775e+04,2.597589515284788320e+00
1.013184446028993079e+04,2.597589600088234363e+00
1.013184448106168384e+04,2.597589684882773753e+00
1.013184450183343688e+04,2.597589769668395832e+00
1.013184452260518992e+04,2.597589854445104152e+00
1.013184454337694297e+04,2.597589939212902266e+00
1.013184456414869601e+04,2.597590023971783069e+00
1.013184458492044905e+04,2.597590108721750113e+00
1.013184460569220209e+04,2.597590193462799846e+00
1.013184462646395514e+04,2.597590278194928715e+00
1.013184464723570818e+04,2.597590362918143825e+00
1.013184466800746122e+04,2.597590447632448729e+00
1.013184468877921427e+04,2.597590532337825664e+00
1.013184470955096731e+04,2.597590617034292393e+00
1.013184473032272035e+04,2.597590701721834705e+00
1.013184475109447339e+04,2.597590786400459706e+00
1.013184477186622644e+04,2.597590871070163843e+00
1.013184479263797948e+04,2.597590955730947115e+00
1.013184481340973252e+04,2.597591040382813077e+00
1.013184483418148557e+04,2.597591125025754621e+00
1.013184485495323861e+04,2.597591209659771749e+00
1.013184487572499165e+04,2.597591294284871566e+00
1.013184489649674470e+04,2.597591378901046966e+00
