Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.013184277777792886e+04,2.561798181289775656e+00
1.013184279854968190e+04,2.561798265626501703e+00
1.013184281932143494e+04,2.561798349954477416e+00
1.013184284009318799e+04,2.561798434273699243e+00
1.013184286086494103e+04,2.561798518584181394e+00
1.013184288163669407e+04,2.561798602885902554e+00
1.013184290240844712e+04,2.561798687178876932e+00
1.013184292318020016e+04,2.561798771463097424e+00
1.013184294395195320e+04,2.561798855738571135e+00
1.013184296472370625e+04,2.561798940005290959e+00
1.013184298549545929e+04,2.561799024263256896e+00
1.013184300626721233e+04,2.561799108512465395e+00
1.013184302703896537e+04,2.561799192752923560e+00
1.013184304781071842e+04,2.561799276984627838e+00
1.013184306858247146e+04,2.561799361207574677e+00
1.013184308935422450e+04,2.561799445421771182e+00
1.013184311012597936e+04,2.561799529627210248e+00
1.013184313089773241e+04,2.561799613823891875e+00
1.013184315166948545e+04,2.561799698011816062e+00
1.013184317244123849e+04,2.561799782190982810e+00
1.013184319321299154e+04,2.561799866361388567e+00
1.013184321398474458e+04,2.561799950523033331e+00
1.013184323475649762e+04,2.561800034675924209e+00
1.013184325552825067e+04,2.561800118820054095e+00
1.013184327630000371e+04,2.561800202955419437e+00
1.013184329707175675e+04,2.561800287082030891e+00
1.013184331784350979e+04,2.561800371199877802e+00
1.013184333861526284e+04,2.561800455308963720e+00
1.013184335938701588e+04,2.561800539409281541e+00
1.013184338015876892e+04,2.561800623500845475e+00
1.013184340093052197e+04,2.561800707583641312e+00
1.013184342170227501e+04,2.561800791657672605e+00
1.013184344247402805e+04,2.561800875722942905e+00
1.013184346324578109e+04,2.561800959779448661e+00
1.013184348401753414e+04,2.561801043827186319e+00
1.013184350478928718e+04,2.561801127866159433e+00
1.013184352556104022e+04,2.561801211896364450e+00
1.013184354633279327e+04,2.561801295917804921e+00
1.013184356710454631e+04,2.561801379930477296e+00
1.013184358787629935e+04,2.561801463934381573e+00
1.013184360864805240e+04,2.561801547929517753e+00
1.013184362941980544e+04,2.561801631915882282e+00
1.013184365019155848e+04,2.561801715893482267e+00
1.013184367096331152e+04,2.561801799862307050e+00
1.013184369173506457e+04,2.561801883822367287e+00
1.013184371250681761e+04,2.561801967773652322e+00
1.013184373327857065e+04,2.561802051716162154e+00
1.013184375405032551e+04,2.561802135649914547e+00
1.013184377482207856e+04,2.561802219574881079e+00
1.013184379559383160e+04,2.561802303491079513e+00
1.013184381636558464e+04,2.561802387398502745e+00
1.013184383713733769e+04,2.561802471297154327e+00
1.013184385790909073e+04,2.561802555187027153e+00
1.013184387868084377e+04,2.561802639068128329e+00
1.013184389945259682e+04,2.561802722940450749e+00
1.013184392022434986e+04,2.561802806804001520e+00
1.013184394099610290e+04,2.561802890658769982e+00
1.013184396176785594e+04,2.561802974504766794e+00
1.013184398253960899e+04,2.561803058341981298e+00
1.013184400331136203e+04,2.561803142170420600e+00
1.013184402408311507e+04,2.561803225990077593e+00
1.013184404485486812e+04,2.561803309800959383e+00
1.013184406562662116e+04,2.561803393603058865e+00
1.013184408639837420e+04,2.561803477396383144e+00
1.013184410717012724e+04,2.561803561180918010e+00
1.013184412794188029e+04,2.561803644956677672e+00
1.013184414871363333e+04,2.561803728723655027e+00
1.013184416948538637e+04,2.561803812481850073e+00
1.013184419025713942e+04,2.561803896231262812e+00
1.013184421102889246e+04,2.561803979971889689e+00
1.013184423180064550e+04,2.561804063703734258e+00
1.013184425257239855e+04,2.561804147426796519e+00
1.013184427334415159e+04,2.561804231141072918e+00
1.013184429411590463e+04,2.561804314846563457e+00
1.013184431488765767e+04,2.561804398543268135e+00
1.013184433565941072e+04,2.561804482231186952e+00
1.013184435643116376e+04,2.561804565910316356e+00
1.013184437720291680e+04,2.561804649580659898e+00
1.013184439797466985e+04,2.561804733242217580e+00
1.013184441874642471e+04,2.561804816894992953e+00
1.013184443951817775e+04,2.561804900538971808e+00
1.013184446028993079e+04,2.561804984174161248e+00
1.013184448106168384e+04,2.561805067800557723e+00
1.013184450183343688e+04,2.561805151418168336e+00
1.013184452260518992e+04,2.561805235026989536e+00
1.013184454337694297e+04,2.561805318627017769e+00
1.013184456414869601e+04,2.561805402218253036e+00
1.013184458492044905e+04,2.561805485800691784e+00
1.013184460569220209e+04,2.561805569374344671e+00
1.013184462646395514e+04,2.561805652939201039e+00
1.013184464723570818e+04,2.561805736495260888e+00
1.013184466800746122e+04,2.561805820042527770e+00
1.013184468877921427e+04,2.561805903581001687e+00
1.013184470955096731e+04,2.561805987110679084e+00
1.013184473032272035e+04,2.561806070631559962e+00
1.013184475109447339e+04,2.561806154143644321e+00
1.013184477186622644e+04,2.561806237646932161e+00
1.013184479263797948e+04,2.561806321141419929e+00
1.013184481340973252e+04,2.561806404627114730e+00
1.013184483418148557e+04,2.561806488104009460e+00
1.013184485495323861e+04,2.561806571572104119e+00
1.013184487572499165e+04,2.561806655031395152e+00
1.013184489649674470e+04,2.561806738481893220e+00
1.013184491726849774e+04,2.561806821923584110e+00
1.013184493804025078e+04,2.561806905356478481e+00
1.013184495881200382e+04,2.561806988780572780e+00
1.013184497958375687e+04,2.561807072195859902e+00
1.013184500035550991e+04,2.561807155602346953e+00
1.013184502112726295e+04,2.561807239000030378e+00
1.013184504189901600e+04,2.561807322388910180e+00
1.013184506267077086e+04,2.561807405768993462e+00
1.013184508344252390e+04,2.561807489140262462e+00
1.013184510421427694e+04,2.561807572502731389e+00
1.013184512498602999e+04,2.561807655856393140e+00
1.013184514575778303e+04,2.561807739201247713e+00
1.013184516652953607e+04,2.561807822537291557e+00
1.013184518730128912e+04,2.561807905864531776e+00
1.013184520807304216e+04,2.561807989182968370e+00
1.013184522884479520e+04,2.561808072492590682e+00
1.013184524961654824e+04,2.561808155793409369e+00
