Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.896128576389048249e+03,3.605309859436449216e+00
9.896128599245501391e+03,3.605309847276661372e+00
9.896128622101952715e+03,3.605309835116621286e+00
9.896128644958405857e+03,3.605309822956325405e+00
9.896128667814857181e+03,3.605309810795777281e+00
9.896128690671310324e+03,3.605309798634976914e+00
9.896128713527761647e+03,3.605309786473920752e+00
9.896128736384214790e+03,3.605309774312608795e+00
9.896128759240666113e+03,3.605309762151044595e+00
9.896128782097119256e+03,3.605309749989224599e+00
9.896128804953570580e+03,3.605309737827152361e+00
9.896128827810023722e+03,3.605309725664824327e+00
9.896128850666476865e+03,3.605309713502244051e+00
9.896128873522928188e+03,3.605309701339407980e+00
9.896128896379381331e+03,3.605309689176323218e+00
9.896128919235832655e+03,3.605309677012979108e+00
9.896128942092285797e+03,3.605309664849382756e+00
9.896128964948737121e+03,3.605309652685534161e+00
9.896128987805190263e+03,3.605309640521429770e+00
9.896129010661641587e+03,3.605309628357069585e+00
9.896129033518094730e+03,3.605309616192457156e+00
9.896129056374546053e+03,3.605309604027592485e+00
9.896129079230999196e+03,3.605309591862472018e+00
9.896129102087450519e+03,3.605309579697099309e+00
9.896129124943903662e+03,3.605309567531470805e+00
9.896129147800356805e+03,3.605309555365586505e+00
9.896129170656808128e+03,3.605309543199453515e+00
9.896129193513261271e+03,3.605309531033064729e+00
9.896129216369712594e+03,3.605309518866423701e+00
9.896129239226165737e+03,3.605309506699523325e+00
9.896129262082617061e+03,3.605309494532374259e+00
9.896129284939070203e+03,3.605309482364969398e+00
9.896129307795521527e+03,3.605309470197312294e+00
9.896129330651974669e+03,3.605309458029399394e+00
9.896129353508425993e+03,3.605309445861230699e+00
9.896129376364879136e+03,3.605309433692813315e+00
9.896129399221332278e+03,3.605309421524140134e+00
9.896129422077783602e+03,3.605309409355214711e+00
9.896129444934236744e+03,3.605309397186033493e+00
9.896129467790688068e+03,3.605309385016603585e+00
9.896129490647141211e+03,3.605309372846910776e+00
9.896129513503592534e+03,3.605309360676969277e+00
9.896129536360045677e+03,3.605309348506775535e+00
9.896129559216497000e+03,3.605309336336325998e+00
9.896129582072950143e+03,3.605309324165624218e+00
9.896129604929401467e+03,3.605309311994666643e+00
9.896129627785854609e+03,3.605309299823460378e+00
9.896129650642307752e+03,3.605309287651994765e+00
9.896129673498759075e+03,3.605309275480280462e+00
9.896129696355212218e+03,3.605309263308310364e+00
9.896129719211663542e+03,3.605309251136088022e+00
9.896129742068116684e+03,3.605309238963606333e+00
9.896129764924568008e+03,3.605309226790875954e+00
9.896129787781021150e+03,3.605309214617893332e+00
9.896129810637472474e+03,3.605309202444654915e+00
9.896129833493925616e+03,3.605309190271160702e+00
9.896129856350376940e+03,3.605309178097421352e+00
9.896129879206830083e+03,3.605309165923422654e+00
9.896129902063283225e+03,3.605309153749168161e+00
9.896129924919734549e+03,3.605309141574664977e+00
9.896129947776187691e+03,3.605309129399902446e+00
9.896129970632639015e+03,3.605309117224894777e+00
9.896129993489092158e+03,3.605309105049624208e+00
9.896130016345543481e+03,3.605309092874108501e+00
9.896130039201996624e+03,3.605309080698336999e+00
9.896130062058447947e+03,3.605309068522309701e+00
9.896130084914901090e+03,3.605309056346030161e+00
9.896130107771352414e+03,3.605309044169498378e+00
9.896130130627805556e+03,3.605309031992714353e+00
9.896130153484256880e+03,3.605309019815670979e+00
9.896130176340710022e+03,3.605309007638382468e+00
9.896130199197163165e+03,3.605308995460834609e+00
9.896130222053614489e+03,3.605308983283034507e+00
9.896130244910067631e+03,3.605308971104982163e+00
9.896130267766518955e+03,3.605308958926677576e+00
9.896130290622972097e+03,3.605308946748117194e+00
9.896130313479423421e+03,3.605308934569304569e+00
9.896130336335876564e+03,3.605308922390243254e+00
9.896130359192327887e+03,3.605308910210922591e+00
9.896130382048781030e+03,3.605308898031353237e+00
9.896130404905232353e+03,3.605308885851524536e+00
9.896130427761685496e+03,3.605308873671447145e+00
9.896130450618138639e+03,3.605308861491117511e+00
9.896130473474589962e+03,3.605308849310532082e+00
9.896130496331043105e+03,3.605308837129694410e+00
9.896130519187494428e+03,3.605308824948604496e+00
9.896130542043947571e+03,3.605308812767258786e+00
9.896130564900398895e+03,3.605308800585660833e+00
9.896130587756852037e+03,3.605308788403814191e+00
9.896130610613303361e+03,3.605308776221708200e+00
9.896130633469756503e+03,3.605308764039349967e+00
9.896130656326207827e+03,3.605308751856743044e+00
9.896130679182660970e+03,3.605308739673880325e+00
9.896130702039114112e+03,3.605308727490761811e+00
9.896130724895565436e+03,3.605308715307394607e+00
9.896130747752018578e+03,3.605308703123771608e+00
9.896130770608469902e+03,3.605308690939899918e+00
9.896130793464923045e+03,3.605308678755768881e+00
9.896130816321374368e+03,3.605308666571389153e+00
9.896130839177827511e+03,3.605308654386757183e+00
9.896130862034278834e+03,3.605308642201869418e+00
9.896130884890731977e+03,3.605308630016732963e+00
9.896130907747183301e+03,3.605308617831337159e+00
9.896130930603636443e+03,3.605308605645692666e+00
9.896130953460089586e+03,3.605308593459792377e+00
9.896130976316540909e+03,3.605308581273643398e+00
9.896130999172994052e+03,3.605308569087238624e+00
9.896131022029445376e+03,3.605308556900581607e+00
9.896131044885898518e+03,3.605308544713668795e+00
9.896131067742349842e+03,3.605308532526507292e+00
9.896131090598802984e+03,3.605308520339093548e+00
9.896131113455254308e+03,3.605308508151424007e+00
9.896131136311707451e+03,3.605308495963502224e+00
9.896131159168158774e+03,3.605308483775328199e+00
9.896131182024611917e+03,3.605308471586898378e+00
9.896131204881063240e+03,3.605308459398223420e+00
9.896131227737516383e+03,3.605308447209289113e+00
9.896131250593969526e+03,3.605308435020099012e+00
9.896131273450420849e+03,3.605308422830667325e+00
9.896131296306873992e+03,3.605308410640972738e+00
9.896131319163325315e+03,3.605308398451029461e+00
9.896131342019778458e+03,3.605308386260833942e+00
9.896131364876229782e+03,3.605308374070382627e+00
9.896131387732682924e+03,3.605308361879682622e+00
9.896131410589134248e+03,3.605308349688726821e+00
9.896131433445587390e+03,3.605308337497522331e+00
9.896131456302038714e+03,3.605308325306062045e+00
9.896131479158491857e+03,3.605308313114349517e+00
9.896131502014944999e+03,3.605308300922381193e+00
9.896131524871396323e+03,3.605308288730164179e+00
9.896131547727849465e+03,3.605308276537691370e+00
9.896131570584300789e+03,3.605308264344969871e+00
9.896131593440753932e+03,3.605308252151992576e+00
9.896131616297205255e+03,3.605308239958766592e+00
9.896131639153658398e+03,3.605308227765288365e+00
9.896131662010109721e+03,3.605308215571554342e+00
9.896131684866562864e+03,3.605308203377568077e+00
9.896131707723014188e+03,3.605308191183326016e+00
9.896131730579467330e+03,3.605308178988838819e+00
9.896131753435920473e+03,3.605308166794095825e+00
9.896131776292371796e+03,3.605308154599097037e+00
9.896131799148824939e+03,3.605308142403846006e+00
9.896131822005276263e+03,3.605308130208346284e+00
9.896131844861729405e+03,3.605308118012594321e+00
9.896131867718180729e+03,3.605308105816586561e+00
9.896131890574633871e+03,3.605308093620326559e+00
9.896131913431085195e+03,3.605308081423817868e+00
9.896131936287538338e+03,3.605308069227053380e+00
9.896131959143989661e+03,3.605308057030040203e+00
9.896131982000442804e+03,3.605308044832771230e+00
9.896132004856895946e+03,3.605308032635250015e+00
9.896132027713347270e+03,3.605308020437476557e+00
9.896132050569800413e+03,3.605308008239450857e+00
9.896132073426251736e+03,3.605307996041176466e+00
9.896132096282704879e+03,3.605307983842642727e+00
9.896132119139156202e+03,3.605307971643860299e+00
9.896132141995609345e+03,3.605307959444825627e+00
9.896132164852060669e+03,3.605307947245542266e+00
9.896132187708513811e+03,3.605307935045999557e+00
9.896132210564965135e+03,3.605307922846208157e+00
9.896132233421418277e+03,3.605307910646168068e+00
