Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.905193796296138316e+03,3.658514614091412653e+00
9.905193817625817246e+03,3.658514611149378482e+00
9.905193838955496176e+03,3.658514608207681817e+00
9.905193860285176925e+03,3.658514605266326214e+00
9.905193881614855854e+03,3.658514602325304566e+00
9.905193902944534784e+03,3.658514599384623978e+00
9.905193924274213714e+03,3.658514596444284450e+00
9.905193945603892644e+03,3.658514593504278878e+00
9.905193966933571573e+03,3.658514590564614366e+00
9.905193988263252322e+03,3.658514587625287362e+00
9.905194009592931252e+03,3.658514584686297866e+00
9.905194030922610182e+03,3.658514581747649430e+00
9.905194052252289111e+03,3.658514578809338502e+00
9.905194073581968041e+03,3.658514575871365082e+00
9.905194094911648790e+03,3.658514572933732723e+00
9.905194116241327720e+03,3.658514569996434318e+00
9.905194137571006650e+03,3.658514567059476974e+00
9.905194158900685579e+03,3.658514564122860691e+00
9.905194180230364509e+03,3.658514561186578362e+00
9.905194201560043439e+03,3.658514558250637094e+00
9.905194222889724188e+03,3.658514555315033334e+00
9.905194244219403117e+03,3.658514552379770635e+00
9.905194265549082047e+03,3.658514549444845443e+00
9.905194286878760977e+03,3.658514546510254206e+00
9.905194308208439907e+03,3.658514543576004030e+00
9.905194329538120655e+03,3.658514540642094914e+00
9.905194350867799585e+03,3.658514537708519754e+00
9.905194372197478515e+03,3.658514534775289206e+00
9.905194393527157445e+03,3.658514531842392614e+00
9.905194414856836374e+03,3.658514528909840635e+00
9.905194436186517123e+03,3.658514525977619058e+00
9.905194457516196053e+03,3.658514523045742095e+00
9.905194478845874983e+03,3.658514520114202639e+00
9.905194500175553912e+03,3.658514517183000692e+00
9.905194521505232842e+03,3.658514514252136252e+00
9.905194542834911772e+03,3.658514511321612872e+00
9.905194564164592521e+03,3.658514508391423448e+00
9.905194585494271450e+03,3.658514505461575084e+00
9.905194606823950380e+03,3.658514502532067780e+00
9.905194628153629310e+03,3.658514499602894432e+00
9.905194649483308240e+03,3.658514496674062144e+00
9.905194670812988988e+03,3.658514493745570917e+00
9.905194692142667918e+03,3.658514490817417197e+00
9.905194713472346848e+03,3.658514487889597433e+00
9.905194734802025778e+03,3.658514484962118729e+00
9.905194756131704708e+03,3.658514482034981086e+00
9.905194777461383637e+03,3.658514479108180950e+00
9.905194798791064386e+03,3.658514476181721875e+00
9.905194820120743316e+03,3.658514473255600308e+00
9.905194841450422246e+03,3.658514470329812696e+00
9.905194862780101175e+03,3.658514467404366144e+00
9.905194884109780105e+03,3.658514464479260653e+00
9.905194905439460854e+03,3.658514461554489117e+00
9.905194926769139784e+03,3.658514458630058641e+00
9.905194948098818713e+03,3.658514455705969226e+00
9.905194969428497643e+03,3.658514452782213766e+00
9.905194990758176573e+03,3.658514449858802919e+00
9.905195012087855503e+03,3.658514446935726028e+00
9.905195033417536251e+03,3.658514444012990197e+00
9.905195054747215181e+03,3.658514441090588321e+00
9.905195076076894111e+03,3.658514438168531058e+00
9.905195097406573041e+03,3.658514435246811303e+00
9.905195118736251970e+03,3.658514432325429055e+00
9.905195140065932719e+03,3.658514429404384316e+00
9.905195161395611649e+03,3.658514426483680637e+00
9.905195182725290579e+03,3.658514423563310913e+00
9.905195204054969508e+03,3.658514420643285803e+00
9.905195225384648438e+03,3.658514417723598200e+00
9.905195246714329187e+03,3.658514414804248105e+00
9.905195268044008117e+03,3.658514411885235518e+00
9.905195289373687046e+03,3.658514408966563991e+00
9.905195310703365976e+03,3.658514406048229972e+00
9.905195332033044906e+03,3.658514403130233461e+00
9.905195353362723836e+03,3.658514400212578010e+00
9.905195374692404584e+03,3.658514397295260068e+00
9.905195396022083514e+03,3.658514394378279633e+00
9.905195417351762444e+03,3.658514391461643811e+00
9.905195438681441374e+03,3.658514388545341944e+00
9.905195460011120304e+03,3.658514385629377585e+00
9.905195481340801052e+03,3.658514382713754287e+00
