Time (BJD_TBD - 2450000), F_total/F_star (ppm)
9.880038437500130385e+03,2.139692981896546371e+02
9.880038456059855889e+03,2.139657962388251633e+02
9.880038474619583212e+03,2.139622943083202813e+02
9.880038493179308716e+03,2.139587923988289617e+02
9.880038511739036039e+03,2.139552905096673499e+02
9.880038530298761543e+03,2.139517886415244163e+02
9.880038548858488866e+03,2.139482867937164485e+02
9.880038567418214370e+03,2.139447849669323034e+02
9.880038585977941693e+03,2.139412831604882399e+02
9.880038604537667197e+03,2.139377813750732003e+02
9.880038623097394520e+03,2.139342796100034434e+02
9.880038641657120024e+03,2.139307778659678263e+02
9.880038660216847347e+03,2.139272761422825226e+02
9.880038678776572851e+03,2.139237744396366736e+02
9.880038697336298355e+03,2.139202727576895597e+02
9.880038715896025678e+03,2.139167710961005469e+02
9.880038734455751182e+03,2.139132694555586625e+02
9.880038753015478505e+03,2.139097678353800518e+02
9.880038771575204009e+03,2.139062662362536855e+02
9.880038790134931332e+03,2.139027646574957942e+02
9.880038808694656836e+03,2.138992630997954052e+02
9.880038827254384159e+03,2.138957615624684365e+02
9.880038845814109663e+03,2.138922600462041430e+02
9.880038864373836986e+03,2.138887585503185846e+02
9.880038882933562491e+03,2.138852570755008458e+02
9.880038901493289814e+03,2.138817556210669579e+02
9.880038920053015318e+03,2.138782541877060339e+02
9.880038938612740822e+03,2.138747527750773543e+02
9.880038957172468145e+03,2.138712513828403985e+02
9.880038975732193649e+03,2.138677500116840520e+02
9.880038994291920972e+03,2.138642486609246021e+02
9.880039012851646476e+03,2.138607473312508773e+02
9.880039031411373799e+03,2.138572460219791935e+02
9.880039049971099303e+03,2.138537447337984361e+02
9.880039068530826626e+03,2.138502434660248639e+02
9.880039087090552130e+03,2.138467422193474192e+02
9.880039105650279453e+03,2.138432409930823326e+02
9.880039124210004957e+03,2.138397397879184894e+02
9.880039142769732280e+03,2.138362386031721485e+02
9.880039161329457784e+03,2.138327374395321669e+02
9.880039179889183288e+03,2.138292362966581663e+02
9.880039198448910611e+03,2.138257351742092851e+02
9.880039217008636115e+03,2.138222340728746360e+02
9.880039235568363438e+03,2.138187329919704496e+02
9.880039254128088942e+03,2.138152319321854975e+02
9.880039272687816265e+03,2.138117308928361240e+02
9.880039291247541769e+03,2.138082298746112713e+02
9.880039309807269092e+03,2.138047288768271414e+02
9.880039328366994596e+03,2.138012279001726483e+02
9.880039346926721919e+03,2.137977269439640509e+02
9.880039365486447423e+03,2.137942260088902628e+02
9.880039384046174746e+03,2.137907250942675716e+02
9.880039402605900250e+03,2.137872242007848058e+02
9.880039421165625754e+03,2.137837233281014164e+02
9.880039439725353077e+03,2.137802224758768830e+02
9.880039458285078581e+03,2.137767216447999772e+02
9.880039476844805904e+03,2.137732208341871569e+02
9.880039495404531408e+03,2.137697200447270518e+02
9.880039513964258731e+03,2.137662192757362334e+02
9.880039532523984235e+03,2.137627185279033313e+02
9.880039551083711558e+03,2.137592178005448034e+02
9.880039569643437062e+03,2.137557170943494214e+02
9.880039588203164385e+03,2.137522164086334726e+02
9.880039606762889889e+03,2.137487157440858994e+02
9.880039625322617212e+03,2.137452151000229605e+02
9.880039643882342716e+03,2.137417144771334563e+02
9.880039662442068220e+03,2.137382138750768945e+02
9.880039681001795543e+03,2.137347132935127547e+02
9.880039699561521047e+03,2.137312127331298086e+02
9.880039718121248370e+03,2.137277121932444572e+02
9.880039736680973874e+03,2.137242116745454155e+02
9.880039755240701197e+03,2.137207111763491696e+02
9.880039773800426701e+03,2.137172106993443776e+02
9.880039792360154024e+03,2.137137102428475259e+02
9.880039810919879528e+03,2.137102098075473577e+02
9.880039829479606851e+03,2.137067093927601888e+02
9.880039848039332355e+03,2.137032089991749331e+02
9.880039866599059678e+03,2.136997086261078209e+02
9.880039885158785182e+03,2.136962082742477946e+02
9.880039903718510686e+03,2.136927079432542200e+02
9.880039922278238009e+03,2.136892076327865766e+02
9.880039940837963513e+03,2.136857073435336645e+02
9.880039959397690836e+03,2.136822070748119131e+02
9.880039977957416340e+03,2.136787068273100374e+02
9.880039996517143663e+03,2.136752066003445520e+02
9.880040015076869167e+03,2.136717063946039730e+02
9.880040033636596490e+03,2.136682062094049854e+02
9.880040052196321994e+03,2.136647060454361338e+02
9.880040070756049317e+03,2.136612059020138759e+02
9.880040089315774821e+03,2.136577057798270403e+02
