Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.014846018518507481e+04,4.352290499799514834e+01
1.014846020605984813e+04,4.352240688065332108e+01
1.014846022693461964e+04,4.352190891659952854e+01
1.014846024780939297e+04,4.352141110574731897e+01
1.014846026868416629e+04,4.352091344814033391e+01
1.014846028955893780e+04,4.352041594382215806e+01
1.014846031043371113e+04,4.351991859270641072e+01
1.014846033130848264e+04,4.351942139487999128e+01
1.014846035218325596e+04,4.351892435025656170e+01
1.014846037305802929e+04,4.351842745887968533e+01
1.014846039393280080e+04,4.351793072079293268e+01
1.014846041480757413e+04,4.351743413590999410e+01
1.014846043568234745e+04,4.351693770427439034e+01
1.014846045655711896e+04,4.351644142592968478e+01
1.014846047743189229e+04,4.351594530078963885e+01
1.014846049830666561e+04,4.351544932889778750e+01
1.014846051918143712e+04,4.351495351029754488e+01
1.014846054005621045e+04,4.351445784490282165e+01
1.014846056093098196e+04,4.351396233280023296e+01
1.014846058180575528e+04,4.351346697390371077e+01
1.014846060268052861e+04,4.351297176825666213e+01
1.014846062355530012e+04,4.351247671590255806e+01
1.014846064443007344e+04,4.351198181675535182e+01
1.014846066530484677e+04,4.351148707085845757e+01
1.014846068617961828e+04,4.351099247825522554e+01
1.014846070705439161e+04,4.351049803885973688e+01
1.014846072792916493e+04,4.351000375271533471e+01
1.014846074880393644e+04,4.350950961986539767e+01
1.014846076967870977e+04,4.350901564022399981e+01
1.014846079055348127e+04,4.350852181387755024e+01
1.014846081142825460e+04,4.350802814074023672e+01
1.014846083230302793e+04,4.350753462085536682e+01
1.014846085317779944e+04,4.350704125426617708e+01
1.014846087405257276e+04,4.350654804088695471e+01
1.014846089492734609e+04,4.350605498076097888e+01
1.014846091580211760e+04,4.350556207393144348e+01
1.014846093667689092e+04,4.350506932031272100e+01
1.014846095755166243e+04,4.350457671999092923e+01
1.014846097842643576e+04,4.350408427288052593e+01
1.014846099930120909e+04,4.350359197902466946e+01
1.014846102017598059e+04,4.350309983846651818e+01
1.014846104105075392e+04,4.350260785112054407e+01
1.014846106192552725e+04,4.350211601702994102e+01
1.014846108280029875e+04,4.350162433623778924e+01
1.014846110367507208e+04,4.350113280865866727e+01
1.014846112454984541e+04,4.350064143433569086e+01
1.014846114542461692e+04,4.350015021331191889e+01
1.014846116629939024e+04,4.349965914550202228e+01
1.014846118717416175e+04,4.349916823099179908e+01
1.014846120804893508e+04,4.349867746969601257e+01
1.014846122892370840e+04,4.349818686165768611e+01
1.014846124979847991e+04,4.349769640691982886e+01
1.014846127067325324e+04,4.349720610539716859e+01
1.014846129154802657e+04,4.349671595713280681e+01
1.014846131242279807e+04,4.349622596216963188e+01
1.014846133329757140e+04,4.349573612042254211e+01
1.014846135417234473e+04,4.349524643193447559e+01
1.014846137504711623e+04,4.349475689674834911e+01
1.014846139592188956e+04,4.349426751477913200e+01
1.014846141679666107e+04,4.349377828611236652e+01
1.014846143767143440e+04,4.349328921066307885e+01
1.014846145854620772e+04,4.349280028847412183e+01
1.014846147942097923e+04,4.349231151958835540e+01
