Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.027292596064833924e+04,2.558464108052007191e+00
1.027292604692779969e+04,2.558464092554386227e+00
1.027292613320726196e+04,2.558464077055409902e+00
1.027292621948672240e+04,2.558464061555083546e+00
1.027292630576618467e+04,2.558464046053407159e+00
1.027292639204564512e+04,2.558464030550375412e+00
1.027292647832510738e+04,2.558464015045993634e+00
1.027292656460456783e+04,2.558463999540260048e+00
1.027292665088403010e+04,2.558463984033178207e+00
1.027292673716349054e+04,2.558463968524744558e+00
1.027292682344295281e+04,2.558463953014964432e+00
1.027292690972241326e+04,2.558463937503832497e+00
1.027292699600187370e+04,2.558463921991354084e+00
1.027292708228133597e+04,2.558463906477527416e+00
1.027292716856079642e+04,2.558463890962352494e+00
1.027292725484025868e+04,2.558463875445829316e+00
1.027292734111971913e+04,2.558463859927961437e+00
1.027292742739918140e+04,2.558463844408745302e+00
1.027292751367864184e+04,2.558463828888186242e+00
1.027292759995810411e+04,2.558463813366280704e+00
1.027292768623756456e+04,2.558463797843028686e+00
1.027292777251702682e+04,2.558463782318433744e+00
1.027292785879648727e+04,2.558463766792494098e+00
1.027292794507594954e+04,2.558463751265213304e+00
1.027292803135540998e+04,2.558463735736587807e+00
1.027292811763487043e+04,2.558463720206621161e+00
1.027292820391433270e+04,2.558463704675308037e+00
1.027292829019379315e+04,2.558463689142657316e+00
1.027292837647325541e+04,2.558463673608663669e+00
1.027292846275271586e+04,2.558463658073330649e+00
1.027292854903217813e+04,2.558463642536654703e+00
1.027292863531163857e+04,2.558463626998642937e+00
1.027292872159110084e+04,2.558463611459288245e+00
1.027292880787056129e+04,2.558463595918595956e+00
1.027292889415002355e+04,2.558463580376564295e+00
1.027292898042948400e+04,2.558463564833193260e+00
1.027292906670894445e+04,2.558463549288488181e+00
1.027292915298840671e+04,2.558463533742443730e+00
1.027292923926786716e+04,2.558463518195061681e+00
1.027292932554732943e+04,2.558463502646347365e+00
1.027292941182678987e+04,2.558463487096291900e+00
1.027292949810625214e+04,2.558463471544902390e+00
1.027292958438571259e+04,2.558463455992178837e+00
1.027292967066517485e+04,2.558463440438123015e+00
1.027292975694463530e+04,2.558463424882727821e+00
1.027292984322409757e+04,2.558463409326003912e+00
1.027292992950355801e+04,2.558463393767944183e+00
1.027293001578302028e+04,2.558463378208553962e+00
1.027293010206248073e+04,2.558463362647827921e+00
1.027293018834194118e+04,2.558463347085773165e+00
1.027293027462140344e+04,2.558463331522387918e+00
1.027293036090086389e+04,2.558463315957670403e+00
1.027293044718032615e+04,2.558463300391620621e+00
1.027293053345978660e+04,2.558463284824243900e+00
1.027293061973924887e+04,2.558463269255536687e+00
1.027293070601870932e+04,2.558463253685498984e+00
1.027293079229817158e+04,2.558463238114134342e+00
1.027293087857763203e+04,2.558463222541439208e+00
1.027293096485709430e+04,2.558463206967418913e+00
1.027293105113655474e+04,2.558463191392068126e+00
1.027293113741601519e+04,2.558463175815393953e+00
1.027293122369547746e+04,2.558463160237392842e+00
1.027293130997493790e+04,2.558463144658063015e+00
1.027293139625440017e+04,2.558463129077413356e+00
1.027293148253386062e+04,2.558463113495431429e+00
1.027293156881332288e+04,2.558463097912129669e+00
1.027293165509278333e+04,2.558463082327502747e+00
1.027293174137224560e+04,2.558463066741550662e+00
1.027293182765170604e+04,2.558463051154276968e+00
1.027293191393116831e+04,2.558463035565678112e+00
1.027293200021062876e+04,2.558463019975761199e+00
1.027293208649008920e+04,2.558463004384520900e+00
1.027293217276955147e+04,2.558462988791958992e+00
1.027293225904901192e+04,2.558462973198073698e+00
1.027293234532847418e+04,2.558462957602870347e+00
1.027293243160793463e+04,2.558462942006347163e+00
1.027293251788739690e+04,2.558462926408502369e+00
1.027293260416685735e+04,2.558462910809337743e+00
1.027293269044631961e+04,2.558462895208856835e+00
1.027293277672578006e+04,2.558462879607059648e+00
1.027293286300524233e+04,2.558462864003939075e+00
1.027293294928470277e+04,2.558462848399503997e+00
1.027293303556416504e+04,2.558462832793754416e+00
1.027293312184362549e+04,2.558462817186683225e+00
1.027293320812308593e+04,2.558462801578299306e+00
1.027293329440254820e+04,2.558462785968597331e+00
1.027293338068200865e+04,2.558462770357582627e+00
1.027293346696147091e+04,2.558462754745253420e+00
1.027293355324093136e+04,2.558462739131609709e+00
1.027293363952039363e+04,2.558462723516651494e+00
1.027293372579985407e+04,2.558462707900380551e+00
1.027293381207931634e+04,2.558462692282795103e+00
1.027293389835877679e+04,2.558462676663896929e+00
1.027293398463823905e+04,2.558462661043691355e+00
1.027293407091769950e+04,2.558462645422171278e+00
1.027293415719715995e+04,2.558462629799340249e+00
1.027293424347662221e+04,2.558462614175194716e+00
1.027293432975608266e+04,2.558462598549745337e+00
1.027293441603554493e+04,2.558462582922983231e+00
1.027293450231500537e+04,2.558462567294911949e+00
1.027293458859446764e+04,2.558462551665533269e+00
1.027293467487392809e+04,2.558462536034845414e+00
1.027293476115339035e+04,2.558462520402848384e+00
1.027293484743285080e+04,2.558462504769543955e+00
1.027293493371231307e+04,2.558462489134935680e+00
1.027293501999177352e+04,2.558462473499018230e+00
1.027293510627123396e+04,2.558462457861795158e+00
1.027293519255069623e+04,2.558462442223266464e+00
1.027293527883015668e+04,2.558462426583430371e+00
1.027293536510961894e+04,2.558462410942290433e+00
1.027293545138907939e+04,2.558462395299851977e+00
1.027293553766854166e+04,2.558462379656104346e+00
1.027293562394800210e+04,2.558462364011052870e+00
1.027293571022746437e+04,2.558462348364699324e+00
1.027293579650692482e+04,2.558462332717043708e+00
1.027293588278638708e+04,2.558462317068086023e+00
1.027293596906584753e+04,2.558462301417824492e+00
1.027293605534530980e+04,2.558462285766264444e+00
1.027293614162477024e+04,2.558462270113402326e+00
1.027293622790423069e+04,2.558462254459243468e+00
1.027293631418369296e+04,2.558462238803780764e+00
1.027293640046315340e+04,2.558462223147021319e+00
1.027293648674261567e+04,2.558462207488959805e+00
1.027293657302207612e+04,2.558462191829601551e+00
1.027293665930153838e+04,2.558462176168946556e+00
1.027293674558099883e+04,2.558462160506991268e+00
1.027293683186046110e+04,2.558462144843741015e+00
1.027293691813992154e+04,2.558462129179194022e+00
1.027293700441938381e+04,2.558462113513350289e+00
1.027293709069884426e+04,2.558462097846213368e+00
1.027293717697830471e+04,2.558462082177779706e+00
1.027293726325776697e+04,2.558462066508049304e+00
1.027293734953722742e+04,2.558462050837025714e+00
1.027293743581668969e+04,2.558462035164707160e+00
1.027293752209615013e+04,2.558462019491097195e+00
1.027293760837561240e+04,2.558462003816192265e+00
1.027293769465507285e+04,2.558461988139995924e+00
1.027293778093453511e+04,2.558461972462508172e+00
1.027293786721399556e+04,2.558461956783727231e+00
1.027293795349345783e+04,2.558461941103654880e+00
1.027293803977291827e+04,2.558461925422292893e+00
1.027293812605238054e+04,2.558461909739637719e+00
1.027293821233184099e+04,2.558461894055696462e+00
1.027293829861130143e+04,2.558461878370465570e+00
1.027293838489076370e+04,2.558461862683945043e+00
1.027293847117022415e+04,2.558461846996133104e+00
1.027293855744968641e+04,2.558461831307035084e+00
1.027293864372914686e+04,2.558461815616652757e+00
1.027293873000860913e+04,2.558461799924979019e+00
1.027293881628806957e+04,2.558461784232020975e+00
1.027293890256753184e+04,2.558461768537775072e+00
1.027293898884699229e+04,2.558461752842244863e+00
1.027293907512645455e+04,2.558461737145426795e+00
1.027293916140591500e+04,2.558461721447326198e+00
1.027293924768537545e+04,2.558461705747941295e+00
1.027293933396483772e+04,2.558461690047270309e+00
1.027293942024429816e+04,2.558461674345318571e+00
1.027293950652376043e+04,2.558461658642080749e+00
1.027293959280322088e+04,2.558461642937560399e+00
1.027293967908268314e+04,2.558461627231761071e+00
1.027293976536214359e+04,2.558461611524679213e+00
1.027293985164160586e+04,2.558461595816314826e+00
1.027293993792106630e+04,2.558461580106669686e+00
1.027294002420052857e+04,2.558461564395742016e+00
1.027294011047998902e+04,2.558461548683537146e+00
1.027294019675944946e+04,2.558461532970051522e+00
1.027294028303891173e+04,2.558461517255290474e+00
1.027294036931837218e+04,2.558461501539248673e+00
1.027294045559783444e+04,2.558461485821926118e+00
1.027294054187729489e+04,2.558461470103328139e+00
1.027294062815675716e+04,2.558461454383451184e+00
1.027294071443621760e+04,2.558461438662302356e+00
1.027294080071567987e+04,2.558461422939872776e+00
1.027294088699514032e+04,2.558461407216167771e+00
1.027294097327460258e+04,2.558461391491187342e+00
1.027294105955406303e+04,2.558461375764933265e+00
1.027294114583352530e+04,2.558461360037401988e+00
1.027294123211298574e+04,2.558461344308600616e+00
1.027294131839244619e+04,2.558461328578523819e+00
1.027294140467190846e+04,2.558461312847173375e+00
1.027294149095136891e+04,2.558461297114551058e+00
1.027294157723083117e+04,2.558461281380655095e+00
1.027294166351029162e+04,2.558461265645489036e+00
1.027294174978975389e+04,2.558461249909051105e+00
1.027294183606921433e+04,2.558461234171343079e+00
1.027294192234867660e+04,2.558461218432361406e+00
1.027294200862813705e+04,2.558461202692113190e+00
1.027294209490759931e+04,2.558461186950593103e+00
1.027294218118705976e+04,2.558461171207804696e+00
1.027294226746652021e+04,2.558461155463747971e+00
1.027294235374598247e+04,2.558461139718424704e+00
1.027294244002544292e+04,2.558461123971831341e+00
1.027294252630490519e+04,2.558461108223971436e+00
1.027294261258436563e+04,2.558461092474844989e+00
1.027294269886382790e+04,2.558461076724451999e+00
1.027294278514328835e+04,2.558461060972792467e+00
1.027294287142275061e+04,2.558461045219868168e+00
1.027294295770221106e+04,2.558461029465679104e+00
1.027294304398167333e+04,2.558461013710223497e+00
1.027294313026113377e+04,2.558460997953504901e+00
1.027294321654059604e+04,2.558460982195523314e+00
1.027294330282005649e+04,2.558460966436278738e+00
1.027294338909951693e+04,2.558460950675771173e+00
1.027294347537897920e+04,2.558460934913998841e+00
1.027294356165843965e+04,2.558460919150967072e+00
1.027294364793790191e+04,2.558460903386675866e+00
1.027294373421736236e+04,2.558460887621121671e+00
1.027294382049682463e+04,2.558460871854306262e+00
1.027294390677628508e+04,2.558460856086231416e+00
1.027294399305574734e+04,2.558460840316897134e+00
1.027294407933520779e+04,2.558460824546303414e+00
1.027294416561467006e+04,2.558460808774450257e+00
1.027294425189413050e+04,2.558460793001339439e+00
1.027294433817359095e+04,2.558460777226970961e+00
1.027294442445305322e+04,2.558460761451346599e+00
1.027294451073251366e+04,2.558460745674462800e+00
1.027294459701197593e+04,2.558460729896323116e+00
1.027294468329143638e+04,2.558460714116929324e+00
1.027294476957089864e+04,2.558460698336279648e+00
1.027294485585035909e+04,2.558460682554374088e+00
1.027294494212982136e+04,2.558460666771214420e+00
1.027294502840928180e+04,2.558460650986798868e+00
1.027294511468874407e+04,2.558460635201129207e+00
1.027294520096820452e+04,2.558460619414210768e+00
1.027294528724766496e+04,2.558460603626034668e+00
1.027294537352712723e+04,2.558460587836609790e+00
1.027294545980658768e+04,2.558460572045929027e+00
1.027294554608604994e+04,2.558460556254001261e+00
1.027294563236551039e+04,2.558460540460819388e+00
1.027294571864497266e+04,2.558460524666388736e+00
1.027294580492443311e+04,2.558460508870707528e+00
1.027294589120389537e+04,2.558460493073777542e+00
