Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.013184277777792886e+04,2.750180464673508141e+02
1.013184279854968190e+04,2.750184693942555896e+02
1.013184281932143494e+04,2.750188924179483365e+02
1.013184284009318799e+04,2.750193155384299644e+02
1.013184286086494103e+04,2.750197387557014963e+02
1.013184288163669407e+04,2.750201620697638418e+02
1.013184290240844712e+04,2.750205854806180241e+02
1.013184292318020016e+04,2.750210089882649527e+02
1.013184294395195320e+04,2.750214325927057075e+02
1.013184296472370625e+04,2.750218562939412550e+02
1.013184298549545929e+04,2.750222800919725046e+02
1.013184300626721233e+04,2.750227039868003658e+02
1.013184302703896537e+04,2.750231279784259755e+02
1.013184304781071842e+04,2.750235520668501863e+02
1.013184306858247146e+04,2.750239762520740214e+02
1.013184308935422450e+04,2.750244005340984472e+02
1.013184311012597936e+04,2.750248249129616056e+02
1.013184313089773241e+04,2.750252493885901686e+02
1.013184315166948545e+04,2.750256739610221643e+02
1.013184317244123849e+04,2.750260986302587298e+02
1.013184319321299154e+04,2.750265233963007176e+02
1.013184321398474458e+04,2.750269482591490373e+02
1.013184323475649762e+04,2.750273732188048257e+02
1.013184325552825067e+04,2.750277982752689923e+02
1.013184327630000371e+04,2.750282234285424465e+02
1.013184329707175675e+04,2.750286486786262685e+02
1.013184331784350979e+04,2.750290740255213677e+02
1.013184333861526284e+04,2.750294994692287105e+02
1.013184335938701588e+04,2.750299250097493200e+02
1.013184338015876892e+04,2.750303506470841626e+02
1.013184340093052197e+04,2.750307763812340340e+02
1.013184342170227501e+04,2.750312022122001849e+02
1.013184344247402805e+04,2.750316281399834111e+02
1.013184346324578109e+04,2.750320541645847356e+02
1.013184348401753414e+04,2.750324802860051250e+02
1.013184350478928718e+04,2.750329065042454886e+02
1.013184352556104022e+04,2.750333328193069065e+02
1.013184354633279327e+04,2.750337592311903450e+02
1.013184356710454631e+04,2.750341857398965999e+02
1.013184358787629935e+04,2.750346123454268081e+02
1.013184360864805240e+04,2.750350390477819928e+02
1.013184362941980544e+04,2.750354658469629499e+02
1.013184365019155848e+04,2.750358927429707592e+02
1.013184367096331152e+04,2.750363197358063871e+02
1.013184369173506457e+04,2.750367468254707433e+02
1.013184371250681761e+04,2.750371740119649075e+02
1.013184373327857065e+04,2.750376012952896758e+02
1.013184375405032551e+04,2.750380286754836447e+02
1.013184377482207856e+04,2.750384561524728042e+02
1.013184379559383160e+04,2.750388837262955803e+02
1.013184381636558464e+04,2.750393113969529395e+02
1.013184383713733769e+04,2.750397391644458480e+02
1.013184385790909073e+04,2.750401670287753291e+02
1.013184387868084377e+04,2.750405949899422922e+02
1.013184389945259682e+04,2.750410230479477605e+02
1.013184392022434986e+04,2.750414512027925866e+02
1.013184394099610290e+04,2.750418794544778507e+02
1.013184396176785594e+04,2.750423078030045190e+02
1.013184398253960899e+04,2.750427362483735010e+02
1.013184400331136203e+04,2.750431647905858199e+02
1.013184402408311507e+04,2.750435934296424421e+02
1.013184404485486812e+04,2.750440221655442201e+02
1.013184406562662116e+04,2.750444509982922909e+02
1.013184408639837420e+04,2.750448799278875640e+02
1.013184410717012724e+04,2.750453089543309488e+02
1.013184412794188029e+04,2.750457380776235254e+02
1.013184414871363333e+04,2.750461672977660896e+02
1.013184416948538637e+04,2.750465966147597783e+02
1.013184419025713942e+04,2.750470260286055577e+02
1.013184421102889246e+04,2.750474555393042237e+02
1.013184423180064550e+04,2.750478851468569133e+02
1.013184425257239855e+04,2.750483148512645357e+02
1.013184427334415159e+04,2.750487446525280575e+02
1.013184429411590463e+04,2.750491745506484449e+02
1.013184431488765767e+04,2.750496045456267211e+02
1.013184433565941072e+04,2.750500346374637388e+02
1.013184435643116376e+04,2.750504648261605212e+02
1.013184437720291680e+04,2.750508951117180914e+02
1.013184439797466985e+04,2.750513254941373589e+02
1.013184441874642471e+04,2.750517559734569772e+02
1.013184443951817775e+04,2.750521865496025384e+02
1.013184446028993079e+04,2.750526172226127528e+02
1.013184448106168384e+04,2.750530479924885299e+02
1.013184450183343688e+04,2.750534788592307791e+02
1.013184452260518992e+04,2.750539098228405805e+02
1.013184454337694297e+04,2.750543408833189574e+02
1.013184456414869601e+04,2.750547720406666485e+02
1.013184458492044905e+04,2.750552032948847909e+02
1.013184460569220209e+04,2.750556346459742372e+02
1.013184462646395514e+04,2.750560660939361242e+02
1.013184464723570818e+04,2.750564976387712477e+02
1.013184466800746122e+04,2.750569292804807446e+02
1.013184468877921427e+04,2.750573610190653540e+02
1.013184470955096731e+04,2.750577928545262694e+02
1.013184473032272035e+04,2.750582247868642867e+02
1.013184475109447339e+04,2.750586568160804291e+02
1.013184477186622644e+04,2.750590889421757765e+02
1.013184479263797948e+04,2.750595211651510681e+02
1.013184481340973252e+04,2.750599534850073837e+02
1.013184483418148557e+04,2.750603859017458035e+02
1.013184485495323861e+04,2.750608184153671232e+02
1.013184487572499165e+04,2.750612510258723660e+02
1.013184489649674470e+04,2.750616837332625551e+02
1.013184491726849774e+04,2.750621165375385431e+02
1.013184493804025078e+04,2.750625494387012964e+02
1.013184495881200382e+04,2.750629824367520087e+02
1.013184497958375687e+04,2.750634155316913052e+02
1.013184500035550991e+04,2.750638487235203797e+02
1.013184502112726295e+04,2.750642820122401417e+02
1.013184504189901600e+04,2.750647153978515007e+02
1.013184506267077086e+04,2.750651488803934512e+02
1.013184508344252390e+04,2.750655824597910737e+02
1.013184510421427694e+04,2.750660161360831921e+02
1.013184512498602999e+04,2.750664499092707729e+02
1.013184514575778303e+04,2.750668837793548391e+02
1.013184516652953607e+04,2.750673177463363572e+02
1.013184518730128912e+04,2.750677518102162935e+02
1.013184520807304216e+04,2.750681859709955006e+02
