Time (BJD_TBD - 2450000), L_total/L_star (ppm)
9.917309675925876945e+03,5.270718515044114838e+01
9.917309697571559809e+03,5.270582780699353265e+01
9.917309719217242673e+03,5.270447061295819680e+01
9.917309740862925537e+03,5.270311356833693850e+01
9.917309762508608401e+03,5.270175667313162648e+01
9.917309784154293084e+03,5.270039992723006606e+01
9.917309805799975948e+03,5.269904333086211068e+01
9.917309827445658811e+03,5.269768688391554434e+01
9.917309849091341675e+03,5.269633058639218604e+01
9.917309870737024539e+03,5.269497443829391869e+01
9.917309892382707403e+03,5.269361843962254710e+01
9.917309914028390267e+03,5.269226259037986182e+01
9.917309935674073131e+03,5.269090689056770316e+01
9.917309957319757814e+03,5.268955134007402563e+01
9.917309978965440678e+03,5.268819593912844113e+01
9.917310000611123542e+03,5.268684068761885442e+01
9.917310022256806405e+03,5.268548558554709871e+01
9.917310043902489269e+03,5.268413063291504983e+01
9.917310065548172133e+03,5.268277582972446282e+01
9.917310087193854997e+03,5.268142117597717800e+01
9.917310108839537861e+03,5.268006667167500723e+01
9.917310130485222544e+03,5.267871231670602583e+01
9.917310152130905408e+03,5.267735811129962542e+01
9.917310173776588272e+03,5.267600405534384578e+01
9.917310195422271136e+03,5.267465014884047747e+01
9.917310217067954000e+03,5.267329639179137502e+01
9.917310238713636863e+03,5.267194278419835030e+01
9.917310260359319727e+03,5.267058932606324362e+01
9.917310282005002591e+03,5.266923601738782423e+01
9.917310303650687274e+03,5.266788285806025982e+01
9.917310325296370138e+03,5.266652984830979278e+01
9.917310346942053002e+03,5.266517698802452685e+01
9.917310368587735866e+03,5.266382427720623838e+01
9.917310390233418730e+03,5.266247171585681031e+01
9.917310411879101594e+03,5.266111930397808294e+01
9.917310433524784457e+03,5.265976704157179000e+01
9.917310455170467321e+03,5.265841492863980022e+01
9.917310476816152004e+03,5.265706296507034523e+01
9.917310498461834868e+03,5.265571115109247557e+01
9.917310520107517732e+03,5.265435948659437315e+01
9.917310541753200596e+03,5.265300797157784274e+01
9.917310563398883460e+03,5.265165660604473175e+01
9.917310585044566324e+03,5.265030538999686627e+01
9.917310606690249188e+03,5.264895432343604398e+01
9.917310628335932051e+03,5.264760340636412650e+01
9.917310649981616734e+03,5.264625263866935967e+01
9.917310671627299598e+03,5.264490202058064483e+01
9.917310693272982462e+03,5.264355155198629177e+01
9.917310714918665326e+03,5.264220123288807685e+01
9.917310736564348190e+03,5.264085106328782615e+01
9.917310758210031054e+03,5.263950104318739420e+01
9.917310779855713918e+03,5.263815117258859999e+01
9.917310801501396782e+03,5.263680145149321987e+01
9.917310823147079645e+03,5.263545187990311547e+01
9.917310844792764328e+03,5.263410245770667473e+01
9.917310866438447192e+03,5.263275318513255030e+01
9.917310888084130056e+03,5.263140406206916566e+01
9.917310909729812920e+03,5.263005508851830427e+01
9.917310931375495784e+03,5.262870626448175670e+01
9.917310953021178648e+03,5.262735758996143431e+01
9.917310974666861512e+03,5.262600906495909214e+01
9.917310996312544376e+03,5.262466068947657050e+01
9.917311017958229058e+03,5.262331246340234969e+01
9.917311039603911922e+03,5.262196438696491896e+01
9.917311061249594786e+03,5.262061646005276572e+01
9.917311082895277650e+03,5.261926868266766633e+01
9.917311104540960514e+03,5.261792105481146109e+01
9.917311126186643378e+03,5.261657357648599742e+01
9.917311147832326242e+03,5.261522624769310141e+01
