Time (BJD_TBD - 2450000), F_total/F_star (ppm)
1.013335255787055939e+04,2.644058856572279979e+02
1.013335257878931770e+04,2.644058856572279979e+02
1.013335259970807601e+04,2.644058856572279979e+02
1.013335262062683432e+04,2.644058856572279979e+02
1.013335264154559445e+04,2.644058856572279979e+02
1.013335266246435276e+04,2.644058856572279979e+02
1.013335268338311107e+04,2.644058856572279979e+02
1.013335270430186938e+04,2.644058856572279979e+02
1.013335272522062769e+04,2.644058856572279979e+02
1.013335274613938600e+04,2.644058856572279979e+02
1.013335276705814431e+04,2.644058856572279979e+02
1.013335278797690262e+04,2.644058856572279979e+02
1.013335280889566275e+04,2.644058856572279979e+02
1.013335282981442106e+04,2.644058856572279979e+02
1.013335285073317937e+04,2.644058856572279979e+02
1.013335287165193768e+04,2.644058856572279979e+02
1.013335289257069599e+04,2.644058856572279979e+02
1.013335291348945429e+04,2.644058856572279979e+02
1.013335293440821260e+04,2.644058856572279979e+02
1.013335295532697091e+04,2.644058856572279979e+02
1.013335297624573104e+04,2.644058856572279979e+02
1.013335299716448935e+04,2.644058856572279979e+02
1.013335301808324766e+04,2.644058856572279979e+02
1.013335303900200597e+04,2.644058856572279979e+02
1.013335305992076428e+04,2.644058856572279979e+02
1.013335308083952259e+04,2.644058856572279979e+02
1.013335310175828090e+04,2.644058856572279979e+02
1.013335312267703921e+04,2.644058856572279979e+02
1.013335314359579934e+04,2.644058856572279979e+02
1.013335316451455765e+04,2.644058856572279979e+02
1.013335318543331596e+04,2.644058856572279979e+02
1.013335320635207427e+04,2.644058856572279979e+02
1.013335322727083258e+04,2.644058856572279979e+02
1.013335324818959089e+04,2.644058856572279979e+02
1.013335326910834920e+04,2.644058856572279979e+02
1.013335329002710751e+04,2.644058856572279979e+02
1.013335331094586763e+04,2.644058856572279979e+02
1.013335333186462594e+04,2.644058856572279979e+02
1.013335335278338425e+04,2.644058856572279979e+02
1.013335337370214256e+04,2.644058856572279979e+02
1.013335339462090087e+04,2.644058856572279979e+02
1.013335341553965918e+04,2.644058856572279979e+02
1.013335343645841749e+04,2.644058856572279979e+02
1.013335345737717762e+04,2.644058856572279979e+02
1.013335347829593593e+04,2.644058856572279979e+02
1.013335349921469424e+04,2.644058856572279979e+02
1.013335352013345255e+04,2.644058856572279979e+02
1.013335354105221086e+04,2.644058856572279979e+02
1.013335356197096917e+04,2.644058856572279979e+02
1.013335358288972748e+04,2.644058856572279979e+02
1.013335360380848579e+04,2.644058856572279979e+02
1.013335362472724591e+04,2.644058856572279979e+02
1.013335364564600422e+04,2.644058856572279979e+02
1.013335366656476253e+04,2.644058856572279979e+02
1.013335368748352084e+04,2.644058856572279979e+02
1.013335370840227915e+04,2.644058856572279979e+02
1.013335372932103746e+04,2.644058856572279979e+02
1.013335375023979577e+04,2.644058856572279979e+02
1.013335377115855408e+04,2.644058856572279979e+02
1.013335379207731421e+04,2.644058856572279979e+02
1.013335381299607252e+04,2.644058856572279979e+02
1.013335383391483083e+04,2.644058856572279979e+02
1.013335385483358914e+04,2.644058856572279979e+02
1.013335387575234745e+04,2.644058856572279979e+02
1.013335389667110576e+04,2.644058856572279979e+02
1.013335391758986407e+04,2.644058856572279979e+02
1.013335393850862238e+04,2.644058856572279979e+02
1.013335395942738251e+04,2.644058856572279979e+02
1.013335398034614082e+04,2.644058856572279979e+02
1.013335400126489913e+04,2.644058856572279979e+02
1.013335402218365743e+04,2.644058856572279979e+02
1.013335404310241574e+04,2.644058856572279979e+02
1.013335406402117405e+04,2.644058856572279979e+02
1.013335408493993236e+04,2.644058856572279979e+02
1.013335410585869067e+04,2.644058856572279979e+02
1.013335412677745080e+04,2.644058856572279979e+02
1.013335414769620911e+04,2.644058856572279979e+02
1.013335416861496742e+04,2.644058856572279979e+02
1.013335418953372573e+04,2.644058856572279979e+02
1.013335421045248404e+04,2.644058856572279979e+02
1.013335423137124235e+04,2.644058856572279979e+02
1.013335425229000066e+04,2.644058856572279979e+02
1.013335427320876079e+04,2.644058856572279979e+02
1.013335429412751910e+04,2.644058856572279979e+02
1.013335431504627741e+04,2.644058856572279979e+02
1.013335433596503572e+04,2.644058856572279979e+02
1.013335435688379403e+04,2.644058856572279979e+02
1.013335437780255234e+04,2.644058856572279979e+02
1.013335439872131064e+04,2.644058856572279979e+02
1.013335441964006895e+04,2.644058856572279979e+02
1.013335444055882908e+04,2.644058856572279979e+02
1.013335446147758739e+04,2.644058856572279979e+02
1.013335448239634570e+04,2.644058856572279979e+02
