Time (BJD_TBD - 2450000), L_total/L_star (ppm)
9.889738090277649462e+03,5.254182901315111565e+01
9.889738107156652404e+03,5.254361807296396591e+01
9.889738124035655346e+03,5.254540719546005789e+01
9.889738140914658288e+03,5.254719638063809839e+01
9.889738157793661230e+03,5.254898562849679422e+01
9.889738174672662353e+03,5.255077493884199669e+01
9.889738191551665295e+03,5.255256431205805256e+01
9.889738208430668237e+03,5.255435374795082737e+01
9.889738225309671179e+03,5.255614324651904212e+01
9.889738242188674121e+03,5.255793280776138232e+01
9.889738259067677063e+03,5.255972243167654767e+01
9.889738275946680005e+03,5.256151211826320946e+01
9.889738292825682947e+03,5.256330186752008160e+01
9.889738309704684070e+03,5.256509167925300119e+01
9.889738326583687012e+03,5.256688155384637184e+01
9.889738343462689954e+03,5.256867149110605908e+01
9.889738360341692896e+03,5.257046149103074129e+01
9.889738377220695838e+03,5.257225155361911106e+01
9.889738394099698780e+03,5.257404167886984681e+01
9.889738410978701722e+03,5.257583186678166243e+01
9.889738427857704664e+03,5.257762211735327895e+01
9.889738444736705787e+03,5.257941243039040558e+01
9.889738461615708729e+03,5.258120280627763066e+01
9.889738478494711671e+03,5.258299324482073445e+01
9.889738495373714613e+03,5.258478374601837402e+01
9.889738512252717555e+03,5.258657430986927750e+01
9.889738529131720497e+03,5.258836493637213039e+01
9.889738546010723439e+03,5.259015562552562528e+01
9.889738562889726381e+03,5.259194637732844058e+01
9.889738579768727504e+03,5.259373719158631388e+01
9.889738596647730446e+03,5.259552806868389041e+01
9.889738613526733388e+03,5.259731900842689356e+01
9.889738630405736330e+03,5.259911001081401594e+01
9.889738647284739272e+03,5.260090107584395014e+01
9.889738664163742214e+03,5.260269220351538877e+01
9.889738681042745156e+03,5.260448339382701022e+01
9.889738697921748098e+03,5.260627464677758525e+01
9.889738714800749221e+03,5.260806596217264541e+01
9.889738731679752163e+03,5.260985734039704909e+01
9.889738748558755105e+03,5.261164878125644861e+01
9.889738765437758047e+03,5.261344028474950107e+01
9.889738782316760989e+03,5.261523185087494880e+01
9.889738799195763931e+03,5.261702347963144177e+01
9.889738816074766873e+03,5.261881517101770811e+01
9.889738832953769816e+03,5.262060692503242620e+01
9.889738849832770939e+03,5.262239874148117735e+01
9.889738866711773881e+03,5.262419062074887677e+01
9.889738883590776823e+03,5.262598256264110574e+01
9.889738900469779765e+03,5.262777456715657820e+01
9.889738917348782707e+03,5.262956663429396542e+01
9.889738934227785649e+03,5.263135876405198132e+01
9.889738951106788591e+03,5.263315095642930430e+01
9.889738967985791533e+03,5.263494321142464116e+01
9.889738984864792656e+03,5.263673552884352347e+01
9.889739001743795598e+03,5.263852790907095880e+01
9.889739018622798540e+03,5.264032035191246450e+01
9.889739035501801482e+03,5.264211285736677581e+01
9.889739052380804424e+03,5.264390542543254981e+01
9.889739069259807366e+03,5.264569805610851461e+01
9.889739086138810308e+03,5.264749074939331308e+01
9.889739103017813250e+03,5.264928350528570178e+01
9.889739119896814373e+03,5.265107632359111278e+01
9.889739136775817315e+03,5.265286920469470999e+01
9.889739153654820257e+03,5.265466214840192549e+01
9.889739170533823199e+03,5.265645515471146609e+01
9.889739187412826141e+03,5.265824822362206703e+01
9.889739204291829083e+03,5.266004135513236406e+01
9.889739221170832025e+03,5.266183454924107821e+01
9.889739238049834967e+03,5.266362780594691628e+01
9.889739254928836090e+03,5.266542112505526063e+01
9.889739271807839032e+03,5.266721450695138174e+01
9.889739288686841974e+03,5.266900795144070457e+01
9.889739305565844916e+03,5.267080145852190043e+01
9.889739322444847858e+03,5.267259502819368322e+01
9.889739339323850800e+03,5.267438866045472423e+01
9.889739356202853742e+03,5.267618235530372317e+01
9.889739373081856684e+03,5.267797611273938685e+01
9.889739389960857807e+03,5.267976993256709761e+01
9.889739406839860749e+03,5.268156381517214726e+01
9.889739423718863691e+03,5.268335776035993945e+01
9.889739440597866633e+03,5.268515176812914547e+01
9.889739457476869575e+03,5.268694583847849344e+01
9.889739474355872517e+03,5.268873997140664045e+01
9.889739491234875459e+03,5.269053416691230041e+01
9.889739508113878401e+03,5.269232842499415881e+01
9.889739524992879524e+03,5.269412274545754826e+01
9.889739541871882466e+03,5.269591712868788846e+01
9.889739558750885408e+03,5.269771157449049781e+01
9.889739575629888350e+03,5.269950608286407601e+01
9.889739592508891292e+03,5.270130065380735118e+01
9.889739609387894234e+03,5.270309528731895909e+01
9.889739626266897176e+03,5.270488998339762077e+01
9.889739643145900118e+03,5.270668474204202880e+01
9.889739660024901241e+03,5.270847956305743764e+01
9.889739676903904183e+03,5.271027444682940200e+01
9.889739693782907125e+03,5.271206939316319051e+01
9.889739710661910067e+03,5.271386440205747448e+01
9.889739727540913009e+03,5.271565947351098202e+01
9.889739744419915951e+03,5.271745460752237733e+01
9.889739761298918893e+03,5.271924980409036721e+01
9.889739778177921835e+03,5.272104506321363715e+01
9.889739795056922958e+03,5.272284038469739897e+01
9.889739811935925900e+03,5.272463576892731396e+01
9.889739828814928842e+03,5.272643121570857261e+01
9.889739845693931784e+03,5.272822672503988883e+01
9.889739862572934726e+03,5.273002229691994103e+01
9.889739879451937668e+03,5.273181793134744311e+01
9.889739896330940610e+03,5.273361362832106636e+01
9.889739913209943552e+03,5.273540938783951049e+01
9.889739930088944675e+03,5.273720520970792336e+01
9.889739946967947617e+03,5.273900109431207284e+01
9.889739963846950559e+03,5.274079704145711389e+01
9.889739980725953501e+03,5.274259305114173912e+01
9.889739997604956443e+03,5.274438912336466245e+01
9.889740014483959385e+03,5.274618525812454095e+01
9.889740031362962327e+03,5.274798145542007433e+01
9.889740048241965269e+03,5.274977771524996228e+01
9.889740065120966392e+03,5.275157403741931716e+01
9.889740081999969334e+03,5.275337042231399209e+01
9.889740098878972276e+03,5.275516686973909941e+01
9.889740115757975218e+03,5.275696337969328908e+01
9.889740132636978160e+03,5.275875995217533898e+01
9.889740149515981102e+03,5.276055658718387065e+01
9.889740166394984044e+03,5.276235328471759090e+01
9.889740183273986986e+03,5.276415004477520654e+01
9.889740200152988109e+03,5.276594686716174465e+01
9.889740217031991051e+03,5.276774375226318625e+01
9.889740233910993993e+03,5.276954069988460816e+01
9.889740250789996935e+03,5.277133771002466034e+01
9.889740267668999877e+03,5.277313478268205671e+01
9.889740284548002819e+03,5.277493191785548277e+01
9.889740301427005761e+03,5.277672911554364532e+01
9.889740318306008703e+03,5.277852637574521566e+01
9.889740335185009826e+03,5.278032369826517822e+01
9.889740352064012768e+03,5.278212108348966325e+01
9.889740368943015710e+03,5.278391853122361965e+01
9.889740385822018652e+03,5.278571604146573293e+01
9.889740402701021594e+03,5.278751361421473121e+01
9.889740419580024536e+03,5.278931124946929998e+01
9.889740436459027478e+03,5.279110894722811054e+01
9.889740453338030420e+03,5.279290670748986258e+01
9.889740470217031543e+03,5.279470453005949793e+01
9.889740487096034485e+03,5.279650241532321076e+01
9.889740503975037427e+03,5.279830036308591446e+01
9.889740520854040369e+03,5.280009837334634426e+01
9.889740537733043311e+03,5.280189644610314303e+01
9.889740554612046253e+03,5.280369458135503180e+01
9.889740571491049195e+03,5.280549277910071737e+01
9.889740588370052137e+03,5.280729103933884261e+01
9.889740605249053260e+03,5.280908936187433511e+01
9.889740622128056202e+03,5.281088774709346723e+01
9.889740639007059144e+03,5.281268619480114523e+01
9.889740655886062086e+03,5.281448470499602621e+01
9.889740672765065028e+03,5.281628327767684539e+01
9.889740689644067970e+03,5.281808191284225984e+01
9.889740706523070912e+03,5.281988061049098349e+01
9.889740723402073854e+03,5.282167937062168050e+01
9.889740740281074977e+03,5.282347819303920744e+01
9.889740757160077919e+03,5.282527707812995743e+01
9.889740774039080861e+03,5.282707602569874439e+01
9.889740790918083803e+03,5.282887503574428933e+01
9.889740807797086745e+03,5.283067410826529198e+01
9.889740824676089687e+03,5.283247324326039518e+01
9.889740841555092629e+03,5.283427244072832707e+01
9.889740858434095571e+03,5.283607170066774472e+01
9.889740875313096694e+03,5.283787102288347626e+01
9.889740892192099636e+03,5.283967040776198587e+01
9.889740909071102578e+03,5.284146985510807326e+01
9.889740925950105520e+03,5.284326936492042393e+01
9.889740942829108462e+03,5.284506893719771625e+01
9.889740959708111404e+03,5.284686857193867127e+01
9.889740976587114346e+03,5.284866826914195315e+01
9.889740993466117288e+03,5.285046802880625449e+01
9.889741010345118411e+03,5.285226785073631106e+01
9.889741027224121353e+03,5.285406773531872915e+01
9.889741044103124295e+03,5.285586768235823030e+01
9.889741060982127237e+03,5.285766769185350000e+01
9.889741077861130179e+03,5.285946776380326639e+01
9.889741094740133121e+03,5.286126789820617944e+01
9.889741111619136063e+03,5.286306809506094595e+01
9.889741128498139005e+03,5.286486835436623721e+01
9.889741145377140128e+03,5.286666867592676056e+01
9.889741162256143070e+03,5.286846906012919334e+01
9.889741179135146012e+03,5.287026950677824289e+01
9.889741196014148954e+03,5.287207001587256627e+01
9.889741212893151896e+03,5.287387058741087031e+01
9.889741229772154838e+03,5.287567122139186893e+01
9.889741246651157780e+03,5.287747191781421208e+01
9.889741263530160722e+03,5.287927267667660658e+01
9.889741280409161845e+03,5.288107349778366029e+01
9.889741297288164787e+03,5.288287438152222109e+01
9.889741314167167729e+03,5.288467532769689683e+01
9.889741331046170671e+03,5.288647633630635880e+01
9.889741347925173613e+03,5.288827740734932092e+01
